"Freq [GHz]","re(Zo(1)) [] - s='18um'","re(Zo(1)) [] - s='19um'","re(Zo(1)) [] - s='20um'","re(Zo(1)) [] - s='22um'","re(Zo(1)) [] - s='23.5um'","re(Zo(1)) [] - s='24.5um'","re(Zo(1)) [] - s='25.5um'","re(Zo(1)) [] - s='26.5um'"
1,54.4757646630103,53.5801126899591,52.9455966130315,51.4723006314293,50.6597828161284,49.8360461675716,49.4636925778837,48.8095201600578
1.1,54.0519581120234,53.2677179474313,52.5565913948974,51.1042331970451,50.3048810964412,49.4778775126966,49.1848388040552,48.4693836130526
1.2,53.718981771984,53.0098784946673,52.2506609032601,50.8146967700778,50.0253691070242,49.1957415403305,48.9564708580237,48.2019371729413
1.3,53.4524219007624,52.7919841769353,52.0053381274511,50.5824088010307,49.8007878200979,48.9691028484581,48.765009496592,47.9875349857944
1.4,53.2354264915097,52.6042809781718,51.8051530621637,50.3927288027603,49.6170688864839,48.7838091564504,48.6013638612793,47.8126415458844
1.5,53.0560921329824,52.4400683838768,51.6392032009417,50.2353480261891,49.4643112175696,48.6298818544321,48.4592726897753,47.6677144138454
1.6,52.9058371061921,52.2946181099523,51.4996450825653,50.1028563878817,49.3354017359202,48.5001407988854,48.3343077892545,47.5458872211656
1.7,52.7783605588788,52.1645063732272,51.3807315892659,49.9898286840894,49.2251359634371,48.389325097468,48.2232576010726,47.4421281972666
1.8,52.6689601145182,52.0471911829168,51.2781821286862,49.8922272490065,49.1296432208065,48.2935171595546,48.1237361555725,47.3526892708016
1.9,52.574074461265,51.9407389485093,51.1887612571262,49.8070025892716,49.0460023904837,48.209756982367,48.0339294925558,47.2747373345149
2,52.4909705220003,51.843644293195,51.1099909690848,49.7318208749269,48.9719797732634,48.135778594291,47.9524279790054,47.2061024147855
2.1,52.4175255534751,51.7547092559063,51.0399505835039,49.6648745066903,48.9058468918002,48.0698266372192,47.8781134389501,47.1451024906239
2.2,52.3520728085823,51.672961011375,50.9771351860852,49.6047481836752,48.8462516971473,48.010526565176,47.8100819066649,47.090419566058
2.3,52.2932905319909,51.5975949622919,50.9203539336556,49.550322732959,48.7921261059156,47.9567913678046,47.747589911203,47.0410106391476
2.4,52.2401209906035,51.5279347770646,50.8686559526785,49.5007050674118,48.742618673004,47.9077535928605,47.6900165346228,46.9960428297956
2.5,52.1917106416857,51.4634038897262,50.821275636786,49.4551765046866,48.6970449265799,47.8627151633019,47.6368361884266,46.9548454917897
2.6,52.1473653886693,51.4035048465953,50.7775917781661,49.4131541753946,48.6548502933047,47.8211098896993,47.5875987677108,46.9168744363657
2.7,52.106516748226,51.3478040881476,50.7370966955752,49.3741618868705,48.6155821183065,47.782475159999,47.5419149480883,46.8816849073443
2.8,52.0686960049225,51.295920540631,50.6993726754148,49.337807902241,48.5788683362716,47.7464303450825,47.4994451129262,46.8489109580713
2.9,52.033514279852,51.2475169110822,50.6640738241877,49.303767835127,48.5444010624746,47.7126601748814,47.4598908763145,46.8182495650695
3,52.0006470245111,51.2022929256809,50.630911967982,49.2717713691031,48.511923861955,47.6809018323319,47.4229884866856,46.78944828388
3.1,51.9698218588373,51.1599799844205,50.5996456087694,49.2415918651755,48.4812217956633,47.6509348555464,47.3885036117398,46.762295580208
3.2,51.9408089598934,51.1203368632025,50.570071211016,49.2130381700972,48.4521135824222,47.6225731805187,47.3562271523429,46.7366132004222
3.3,51.9134134128738,51.0831462025678,50.5420162801297,49.1859481162348,48.4244453866498,47.5956588292737,47.3259718341204,46.7122501100988
3.4,51.887469084087,51.0482115967559,50.5153338297952,49.1601833319144,48.3980858651232,47.5700568728302,47.2975693955388,46.6890776479663
3.5,51.8628336833707,51.0153551484553,50.4898979339341,49.135625074527,48.3729221958677,47.5456513890327,47.2708682402607,46.6669856290031
3.6,51.8393847626817,50.9844153907532,50.4656001315922,49.1121708673166,48.3488568783072,47.522342202017,47.2457314561258,46.6458791939615
3.7,51.8170164564452,50.9552455032642,50.4423465068966,49.0897317717092,48.3258051428311,47.5000422396108,47.222035127711,46.6256762497148
3.8,51.7956368132898,50.9277117675352,50.420055306527,49.0682301651692,48.3036928446427,47.4786753820689,47.1996668871063,46.6063053800959
3.9,51.7751656020336,50.9016922198308,50.3986549875642,49.047597923353,48.2824547444655,47.4581747035563,47.1785246603752,46.5877041335088
4,51.7555325000596,50.8770754688341,50.3780826117103,49.0277749272172,48.2620330997746,47.438481029116,47.1585155765874,46.5698176138342
4.1,51.7366755915837,50.8537596527175,50.3582825196066,49.0087078325233,48.2423765063848,47.4195417462035,47.1395550132942,46.5525973166575
4.2,51.7185401182556,50.8316515151822,50.3392052326564,48.9903490521266,48.2234389427078,47.4013098224913,47.121565757562,46.536000164817
4.3,51.7010774361352,50.8106655839263,50.3208065403883,48.9726559114988,48.2051789786909,47.3837429914544,47.1044772656636,46.5199877065608
4.4,51.6842441421527,50.7907234379561,50.3030467397088,48.9555899458,48.187559119027,47.3668030749165,47.0882250075894,46.5045254468716
4.5,51.6680013402935,50.7717530524419,50.2858899989281,48.9391163130007,48.1705452561949,47.3504554177677,47.0727498849311,46.4895822882331
4.6,51.6523140233833,50.7536882116072,50.2693038246152,48.923203302446,48.1541062135986,47.3346684148341,47.0579977125713,46.4751300616302
4.7,51.6371505508369,50.7364679815791,50.2532586134494,48.9078219221421,48.1382133628236,47.3194131136704,47.0439187561145,46.4611431321743
4.8,51.6224822063155,50.7200362362749,50.2377272745236,48.8929455511509,48.1228403020182,47.3046628800742,47.0304673182117,46.4475980666147
4.9,51.6082828221181,50.7043412303533,50.222684910194,48.8785496459709,48.1079625848082,47.2903931155449,47.0176013679179,46.4344733523057
5,51.5945284594538,50.6893352140374,50.2081085456975,48.8646114917898,48.0935574910827,47.2765810178713,47.0052822080431,46.4217491590631
5.1,51.581197135628,50.6749740852772,50.1939768994866,48.8511099911185,48.079603832549,47.2632053776067,46.9934741761344,46.4094071368472
5.2,51.5682685907076,50.6612170752737,50.180270187629,48.8380254836361,48.0660817872241,47.250246404476,46.9821443752993,46.3974302434396
5.3,51.5557240874817,50.6480264638621,50.1669699567668,48.8253395921467,48.0529727580521,47.2376855788021,46.9712624315642,46.385802597279
5.4,51.5435462395649,50.6353673216604,50.1540589410633,48.8130350904317,48.040259251685,47.2255055238894,46.9608002748731,46.3745093514434
5.5,51.5317188633324,50.6232072762402,50.1415209393374,48.801095789494,48.0279247741442,47.213689896002,46.9507319411821,46.3635365854368
