"Freq [GHz]","dB(St(1,1)) [] - g='14.5um'","dB(St(1,1)) [] - g='16.5um'","dB(St(1,1)) [] - g='17.5um'","dB(St(1,1)) [] - g='18.5um'","dB(St(1,1)) [] - g='19.5um'","dB(St(1,1)) [] - g='20.5um'","dB(St(1,1)) [] - g='21.5um'","dB(St(1,1)) [] - g='22.5um'","dB(St(1,1)) [] - g='23.5um'","dB(St(1,1)) [] - g='25.5um'"
1,-40.8910410465266,-40.6983000135224,-39.7683112248996,-41.7976009214647,-40.900013456889,-38.3304225345186,-40.5300033212616,-41.7521278845353,-38.9396728289948,-41.0944418494159
1.1,-40.0714281072407,-39.9630105172661,-38.9477927127729,-40.9940739619106,-40.0591444677124,-37.4825349213271,-39.7106669875188,-40.9421745464925,-38.122728891266,-40.2816383962148
1.2,-39.3240135406981,-39.2809047478593,-38.1998811512735,-40.2639942165806,-39.2963280453974,-36.7120275184401,-38.9639803935683,-40.2053208734372,-37.3785960497012,-39.5402357126187
1.3,-38.6373943976233,-38.645826581589,-37.5130634132851,-39.5956935225429,-38.5988502848237,-36.0066991545967,-38.278432640741,-39.5299779518103,-36.695746630943,-38.859113529996
1.4,-38.0026876699068,-38.052463188503,-36.8783825272111,-38.980065062156,-37.9568349341974,-35.3569230176149,-37.6450655891764,-38.9071092974364,-36.0652056280753,-38.2295705216124
1.5,-37.4128395319902,-37.4962526063722,-36.2887328465045,-38.4098605413896,-37.3624711506784,-34.755002520174,-37.0567702669893,-38.3295293078474,-35.4798472123017,-37.6446719150069
1.6,-36.8621558961821,-36.9732794764092,-35.738382447242,-37.8792141729595,-36.8094818464291,-34.1947058100757,-36.5078100094567,-37.7914278804763,-34.9339180033421,-37.0988023523946
1.7,-36.3459743916007,-36.4801766250196,-35.2226401783367,-37.3833108981788,-36.2927500585824,-33.6709265917497,-35.9934879788425,-37.2880390116862,-34.4227047294386,-36.5873513580201
1.8,-35.8604295897916,-36.0140385508547,-34.7376177977957,-36.9181493072519,-35.8080512169561,-33.1794343628525,-35.5099096147925,-36.815404017663,-33.9422968158747,-36.1064870030547
1.9,-35.402281407629,-35.5723478878698,-34.2800563722956,-36.4803684734244,-35.3518577837525,-32.7166883552625,-35.0538092553938,-36.3701986749614,-33.489413135598,-35.6529897463709
2,-34.9687873487774,-35.1529139198704,-33.8471971759771,-36.0671189822389,-34.9211942874905,-32.2796972807315,-34.6224211999807,-35.9496045937892,-33.0612731890951,-35.2241282693951
2.1,-34.5576058142131,-34.753821561961,-33.4366840697858,-35.6759651858668,-34.5135280709789,-31.8659123594848,-34.2133822153533,-35.5512118599278,-32.65549971285,-34.8175652114968
2.2,-34.166721850967,-34.3733891397577,-33.0464885794433,-35.3048099493863,-34.12668576938,-31.4731448027268,-33.8246567155869,-35.172944205367,-32.2700439452993,-34.4312845816232
2.3,-33.7943893830221,-34.0101334408265,-32.6748516211807,-34.9518358846885,-33.7587886114372,-31.0995014639739,-33.4544785719234,-34.8130006910975,-31.9031275062789,-34.0635351406476
2.4,-33.4390857369781,-33.6627407282412,-32.320237626096,-34.6154588655325,-33.4082016883677,-30.7433341385886,-33.1013053081762,-34.4698096819355,-31.5531966454678,-33.7127857244076
2.5,-33.0994754690541,-33.3300426259688,-31.9812980276264,-34.2942908259955,-33.0734937254245,-30.4031992253083,-32.7637816490357,-34.1419921027803,-31.2188858277294,-33.3776896140313
2.6,-32.7743813213377,-33.010995983627,-31.6568419096503,-33.9871096722055,-32.753404848517,-30.0778253355016,-32.4407102206555,-33.8283317952268,-30.8989884555718,-33.0570558450683
2.7,-32.462760710138,-32.70466599628,-31.3458121943597,-33.6928347133975,-32.4468205072318,-29.7660870580235,-32.1310277838929,-33.5277513719327,-30.5924331101885,-32.7498258978794
2.8,-32.163686558427,-32.4102119935961,-31.0472661615177,-33.4105064255752,-32.1527501895065,-29.4669835359702,-31.8337857926503,-33.2392923757361,-30.2982641047905,-32.4550546042565
2.9,-31.8763315801866,-32.1268754252141,-30.7603593874431,-33.139269652962,-31.8703099033143,-29.179620838123,-31.5481343662467,-32.9620988445976,-30.0156254405319,-32.171894388758
