"Freq [GHz]","dB(St(2,1)) [] - gpillar_r='1um'","dB(St(2,1)) [] - gpillar_r='3um'","dB(St(2,1)) [] - gpillar_r='5um'","dB(St(2,1)) [] - gpillar_r='7um'","dB(St(2,1)) [] - gpillar_r='9um'","dB(St(2,1)) [] - gpillar_r='10um'"
1,-0.0917019125357075,-0.0798763266595729,-0.0782949824879516,-0.0782333008230825,-0.0775813336294869,-0.0770063810754863
1.1,-0.0939735658277343,-0.0820147676577388,-0.0804655170919671,-0.0804394624962152,-0.0797382285377104,-0.0791515325637686
1.2,-0.0960074511323299,-0.0839318830409921,-0.0824220521341466,-0.08244236526928,-0.081684063032409,-0.0810854229895804
1.3,-0.0978158225814098,-0.0856387533447538,-0.0841721914158327,-0.0842461381346715,-0.0834260229822852,-0.0828154419641389
1.4,-0.0994191396622067,-0.0871539994716284,-0.0857319692974227,-0.0858639619122482,-0.0849798322526968,-0.0843571920307103
1.5,-0.100840559233756,-0.0884988416781105,-0.0871208169454341,-0.0873130405947595,-0.0863646527274373,-0.0857295784702305
1.6,-0.102103084856613,-0.0896944961810839,-0.088358799729845,-0.0886117645287424,-0.0876003077142906,-0.0869521755857483
1.7,-0.103228183391503,-0.0907608776320493,-0.0894651582485063,-0.089778153365371,-0.0887058251444777,-0.0880438598685233
1.8,-0.104235203595933,-0.0917160273214749,-0.0904575983586029,-0.0908290505719928,-0.0896987321607415,-0.0890221399227442
1.9,-0.105141224445201,-0.0925759388947958,-0.0913520083980512,-0.0917797581170661,-0.0905947750285817,-0.0899028629769152
2,-0.105961124890682,-0.0933545950697179,-0.0921624151305016,-0.0926439253293632,-0.0914078753087226,-0.090700124682858
2.1,-0.106707758988297,-0.0940641093386507,-0.0929010675333596,-0.0934335800200722,-0.0921502119506506,-0.0914262935860563
2.2,-0.107392172433464,-0.0947149127779186,-0.0935785833031967,-0.0941592344910825,-0.0928323648706545,-0.0920921054450827
2.3,-0.108023826071348,-0.095315952721758,-0.0942041202209536,-0.0948300261577724,-0.093463482668924,-0.0927068011087191
2.4,-0.108610808694774,-0.0958748854996049,-0.0947855508827641,-0.0954538691374333,-0.0940514532688061,-0.0932782881034692
2.5,-0.109160030889353,-0.096398254378202,-0.0953296291415602,-0.0960376033738863,-0.0946030659072856,-0.0938133093588117
2.6,-0.109677396945325,-0.0968916489866176,-0.0958421424970373,-0.0965871341309308,-0.095124158678641,-0.0943176063406043
2.7,-0.11016795470369,-0.0973598453933585,-0.0963280481549605,-0.0971075584849871,-0.0956197492782899,-0.0947960684266598
2.8,-0.11063602466341,-0.0978069275672583,-0.0967915924836693,-0.0976032777043018,-0.096094148642041,-0.095252864593159
2.9,-0.111085310341263,-0.0982363917324744,-0.0972364146972768,-0.0980780956979819,-0.096551058390288,-0.0956915566156694
3,-0.11151899209327,-0.0986512354489727,-0.0976656361449113,-0.0985353044165319,-0.0969936537030497,-0.0961151948748165
3.1,-0.111939806580539,-0.0990540333104292,-0.0980819368033653,-0.0989777574191036,-0.0974246536574127,-0.0965263987423704
3.2,-0.112350113911779,-0.0994470010697541,-0.0984876205938049,-0.0994079329366123,-0.0978463812427008,-0.0969274237644141
3.3,-0.112751954288889,-0.0998320498499497,-0.0988846710574029,-0.0998279877472481,-0.0982608152598957,-0.0973202177544995
3.4,-0.113147095760032,-0.10021083191656,-0.0992747987825371,-0.100239803099445,-0.0986696361115402,-0.0977064676600416
3.5,-0.113537055771905,-0.100584761751546,-0.0996594614470659,-0.100644998596027,-0.0990742525271709,-0.0980876201909924
3.6,-0.113923189341086,-0.100955099371311,-0.100039955005044,-0.101045034118895,-0.0994758833408315,-0.0984649679546084
3.7,-0.114306686176473,-0.101322948558238,-0.100417412986973,-0.101441204121726,-0.0998755644867508,-0.0988396470296223
3.8,-0.114688566471904,-0.101689253416922,-0.100792799583964,-0.101834620875595,-0.100274160772913,-0.0992126316293161
3.9,-0.115069726298649,-0.102054841380648,-0.10116695738625,-0.102226266929779,-0.100672415086362,-0.0995847782665247
4,-0.115450954780265,-0.102420439710072,-0.101540625491922,-0.102617012453813,-0.101070973549056,-0.099956842195044
4.1,-0.115832948656683,-0.10278668947329,-0.101914454914749,-0.103007630037464,-0.101470406584783,-0.100329491324852
