"Freq [GHz]","lost_power_fraction [] - gpillar_r='1um'","lost_power_fraction [] - gpillar_r='3um'","lost_power_fraction [] - gpillar_r='5um'","lost_power_fraction [] - gpillar_r='7um'","lost_power_fraction [] - gpillar_r='9um'","lost_power_fraction [] - gpillar_r='10um'"
1,0.0208257380098669,0.0181320214996735,0.0177739372792509,0.0177868181557492,0.0176266274729494,0.0175196748138895
1.1,0.0213388383581636,0.0186159916814158,0.0182650800629215,0.0182854991172817,0.0181145373570564,0.0180056814131251
1.2,0.0217945414218898,0.019045917332422,0.0187039080926081,0.018734712590987,0.0185506661146802,0.0184405008426835
1.3,0.0221967060615342,0.0194255898395477,0.0190933884298945,0.0191363159904968,0.0189377371874873,0.0188267205673699
1.4,0.0225506190213179,0.0197600188585175,0.0194379265014714,0.0194938675817468,0.0192799904348322,0.0191684291276343
1.5,0.0228619370003058,0.0200545147464013,0.0197424180645818,0.0198116403264755,0.0195822076203565,0.0194702668180691
1.6,0.0231361404395943,0.0203142105493243,0.0200117305485922,0.020094058565073,0.019849178674729,0.0197369116196434
1.7,0.0233782748632115,0.0205438329740383,0.0202504352141599,0.0203453886510088,0.0200854244530121,0.0199728134945573
1.8,0.0235928505579239,0.0207476120704248,0.0204626844434334,0.0205695814253497,0.020295067558787,0.0201820671393105
1.9,0.0237838269332536,0.0209292662220123,0.0206521716272728,0.0207702045428562,0.0204817874517366,0.0203683599245686
2,0.0239546399081476,0.0210920261465357,0.0208221366200379,0.0209504268610496,0.0206488222298921,0.0205349603843821
2.1,0.0241082490056586,0.0212386772679605,0.020975394877417,0.0211130318369547,0.0207989949018335,0.0206847295587461
2.2,0.0242471913198735,0.0213716088841735,0.0211143774413459,0.0212604459271231,0.0209347511210996,0.020820146297453
2.3,0.0243736355038488,0.0214928638084861,0.0212411743697937,0.0213947735833326,0.0210582008289674,0.0209433412642481
2.4,0.0244894323316278,0.0216041852069134,0.0213575774805604,0.021517833908255,0.0211711595396268,0.0210561355477166
2.5,0.0245961603074192,0.0217070591065618,0.0214651202437956,0.0216311961867078,0.0212751869789567,0.0211600803714295
2.6,0.0246951658586962,0.021802752046025,0.0215651138291183,0.0217362128325977,0.0213716219741901,0.0212564951785211
2.7,0.0247875982189865,0.0218923438875695,0.0216586789982505,0.0218340490961646,0.0214616131989502,0.0213465023462725
2.8,0.0248744393902151,0.0219767560965749,0.0217467739212141,0.0219257093532222,0.0215461457967874,0.0214310577112352
2.9,0.024956529696019,0.0220567759253741,0.0218302181992261,0.022012060069961,0.0216260641525283,0.0215109767729321
3,0.0250345894680827,0.0221330769816429,0.0219097134722525,0.0220938496808492,0.0217020912240749,0.0215869568563771
3.1,0.0251092373894576,0.0222062366551858,0.021985861018481,0.0221717256830504,0.0217748449263863,0.0216595957042584
3.2,0.0251810059765109,0.0222767508448224,0.0220591767445169,0.0222462492698065,0.021844852092204,0.0217294070175119
3.3,0.025250354628902,0.0223450463831585,0.0221301039362335,0.0223179078174802,0.0219125605259665,0.0217968334350033
3.4,0.0253176806227392,0.0224114915094189,0.0221990241014443,0.0223871255188755,0.0219783496177899,0.0218622573833919
3.5,0.0253833216226726,0.0224763985489748,0.0222662593727282,0.0224542638742276,0.0220425333962516,0.0219260033916177
3.6,0.0254475807389024,0.0225400470993959,0.0223320975502885,0.0225196505720289,0.0221053855632623,0.0219883628650635
3.7,0.0255107260622692,0.0226026838070255,0.0223967921157741,0.022583578396742,0.0221671412630737,0.0220495937221125
3.8,0.0255729847473313,0.0226645172449559,0.0224605562438852,0.0226462958430624,0.022227993450546,0.0221099141996778
3.9,0.0256345558512201,0.0227257298152069,0.0225235758130165,0.0227080219126113,0.0222881073014091,0.0221695155214634
4,0.0256956142749393,0.0227864814985722,0.022586013517826,0.022768950112042,0.0223476259751641,0.022228565718856
4.1,0.0257563141038975,0.0228469130294468,0.0226480123659129,0.0228292518628959,0.0224066754410666,0.0222872128664593
4.2,0.0258167914438503,0.0229071485872674,0.0227096986426367,0.0228890794136969,0.0224653683406587,0.0223455878262946
4.3,0.0258771668326231,0.0229672980811816,0.0227711844159146,0.0229485683307399,0.0225238069293874,0.0224038065789659
4.4,0.0259375472948115,0.0230274590920142,0.0228325696434233,0.0230078396319968,0.0225820852013217,0.0224619722071633
4.5,0.0259980280955923,0.0230877185251375,0.022893943937164,0.0230670016184266,0.0226402903415169,0.0225201765861255
4.6,0.0260586942406346,0.0231481540191256,0.0229553880343814,0.0231261514484592,0.02269850366564,0.0225785018268463
4.7,0.0261196217614263,0.0232088351478206,0.0230169750186465,0.0231853764942067,0.0227568011993309,0.0226370215103821
4.8,0.0261808788189575,0.0232698244474045,0.0230787713302766,0.0232447555119096,0.0228152540274474,0.0226958017454674
4.9,0.0262425266533967,0.0233311782950388,0.0231408376009248,0.0233043596540504,0.0228739285140031,0.0227549020764923
5,0.0263046204029682,0.0233929476614573,0.0232032293429521,0.0233642533463244,0.022932886463791,0.0228143762645924
5.1,0.026367209811532,0.0234551787563954,0.0232659975201471,0.0234244950490332,0.0229921852705662,0.0228742729609875
5.2,0.0264303398413152,0.0235179135828476,0.0233291890224696,0.0234851379194969,0.0230518780763709,0.0229346362886942
5.3,0.0264940512046292,0.0235811904136635,0.0233928470638771,0.0235462303895537,0.0231120139521592,0.0229955063462053
5.4,0.0265583808263016,0.0236450442019827,0.0234570115189176,0.0236078166700548,0.0231726381007147,0.0230569196445957
5.5,0.0266233622466862,0.0237095069352575,0.0235217192108554,0.0236699371925255,0.0232337920778331,0.0231189094877508
5.6,0.0266890259736755,0.0237746079411671,0.0235870041614342,0.0237326289966036,0.0232955140253989,0.023181506303904
5.7,0.0267553997908018,0.0238403741524893,0.0236528978102529,0.023795926070639,0.0233578389096418,0.0232447379354093
5.8,0.0268225090274942,0.0239068303369522,0.0237194292098589,0.0238598596517283,0.0234207987584601,0.0233086298926393
5.9,0.0268903767966338,0.0239739992971926,0.0237866252012275,0.0239244584905884,0.0234844228927864,0.0233732055769927
6,0.026959032035599,0.0240419094282739,0.0238545175550529,0.023989756106397,0.0235487451637251,0.0234384935838891
6.1,0.0270284865347523,0.0241105730650436,0.0239231225780598,0.0240557703676389,0.0236137835480485,0.0235045069056818
6.2,0.0270987578749126,0.0241800080382848,0.0239924613338091,0.0241225238206117,0.0236795604710458,0.0235712636647639
6.3,0.0271698621271838,0.0242502307968088,0.0240625532421044,0.0241900373213786,0.0237460964644809,0.023638780538039
6.4,0.0272418139808543,0.0243212565113827,0.0241334161936403,0.0242583301815489,0.0238134103320139,0.0237070728772322
6.5,0.0273146268571867,0.0243930991670738,0.0242050666564319,0.0243274202986099,0.0238815193002244,0.0237761548161237
6.6,0.0273883130108697,0.024465771645611,0.0242775197746791,0.0243973242727001,0.0239504391558953,0.0238460393663537
6.7,0.0274628836206013,0.0245392857991699,0.0243507894605723,0.0244680575114361,0.0240201843703904,0.0239167385031804
6.8,0.0275383488701161,0.0246136525167267,0.024424888479516,0.0245396343242322,0.0240907682120792,0.023988263242453
6.9,0.0276147180207778,0.0246888817839925,0.0244998285291593,0.0246120680073326,0.0241622028477674,0.0240606237098063
7,0.0276919994767107,0.024764982737736,0.0245756203126047,0.0246853709206463,0.0242344994341478,0.0241338292030019
7.1,0.0277702008433245,0.0248419637152166,0.0246522736061621,0.024759554557319,0.0243076682001978,0.0242078882482071
7.2,0.027849328979958,0.0249198322993077,0.0247297973219475,0.0248346296068848,0.024381718521432,0.0242828086508904
7.3,0.0279293900472991,0.0249985953598224,0.0248081995656803,0.0249106060126932,0.0244566589868517,0.0243585975419261
7.4,0.0280103895501266,0.0250782590914412,0.024887487689961,0.0249874930242941,0.0245324974593575,0.0244352614194318
7.5,0.0280923323758806,0.0251588290486245,0.0249676683433345,0.0250652992452973,0.0246092411303337,0.0245128061867873
7.6,0.0281752228294772,0.02524031017779,0.0250487475154129,0.0251440326772428,0.0246868965690488,0.0245912371872345
7.7,0.0282590646647459,0.0253227068470211,0.0251307305783264,0.0252237007599034,0.024765469767442,0.0246705592353986
7.8,0.0283438611128279,0.0254060228735101,0.0252136223247473,0.0253043104084149,0.0248449661808272,0.0247507766460547
7.9,0.0284296149078021,0.0254902615489435,0.0252974270027281,0.0253858680475842,0.0249253907649753,0.0248318932603685
8,0.0285163283098166,0.0255754256629579,0.0253821483475537,0.0254683796436848,0.0250067480099972,0.0249139124698989
8.1,0.0286040031259241,0.0256615175248261,0.0254677896108245,0.0255518507340325,0.0250890419714039,0.0249968372385184
8.2,0.0286926407288367,0.025748538983471,0.0255543535869355,0.0256362864545606,0.0251722762986923,0.0250806701224693
8.3,0.0287822420737308,0.0258364914459199,0.0256418426371134,0.0257216915656613,0.0252564542617532,0.0251654132886977
8.4,0.0288728124411506,0.0259253804657652,0.0257302632631537,0.0258080752700875,0.0253415834280926,0.0252510730097217
8.5,0.0289643519916192,0.0260152066183305,0.0258196170400832,0.0258954417030535,0.0254276664130538,0.0253376507384998
8.6,0.0290568557739332,0.0261059655015894,0.0259099005967293,0.0259837898564868,0.0255147008398109,0.0254251430882671
8.7,0.0291503231974481,0.0261976569005226,0.0260011147480986,0.0260731232111398,0.025602688682079,0.0255135508133461
8.8,0.0292447533139332,0.0262902802299948,0.0260932599643344,0.0261634449822969,0.0256916316430244,0.0256028743493785
8.9,0.0293401448251978,0.026383834545186,0.026186336382313,0.0262547581387598,0.0257815311736869,0.0256931138236991
9,0.0294364960894823,0.0264783185508528,0.0262803438153648,0.0263470654211869,0.0258723884907909,0.0257842690646476
9.1,0.0295338051265938,0.026573730609444,0.0263752817611159,0.0264403693599022,0.0259642045941023,0.0258763396098784
9.2,0.0296320696218665,0.0266700687480719,0.0264711494073997,0.0265346722922778,0.0260569802834936,0.0259693247136922
9.3,0.0297312869289242,0.0267673306643694,0.0265679456361973,0.0266299763797919,0.0261507161759168,0.0260632233534144
9.4,0.0298314540712617,0.0268655137312183,0.0266656690254757,0.0267262836248442,0.0262454127224163,0.0261580342348287
9.5,0.0299325677426475,0.0269646150003552,0.0267643178488227,0.0268235958874174,0.0263410702253848,0.0262537557966692
9.6,0.0300346243063059,0.0270646312048333,0.0268638900726775,0.0269219149016654,0.0264376888562426,0.0263503862141511
9.7,0.0301376197928725,0.0271655587603349,0.0269643833509519,0.0270212422925114,0.0265352686737203,0.0264479234015249
9.8,0.0302415498970628,0.0272673937652884,0.0270657950167471,0.0271215795922913,0.0266338096429895,0.0265463650136041
9.9,0.0303464099730274,0.0273701319997671,0.0271681220708363,0.0272229282575457,0.0267333116558346,0.0266457084462156
10,0.0304521950282987,0.0274737689231184,0.0272713611665003,0.0273252896859816,0.0268337745521726,0.0267459508355084
10.1,0.0305588997162823,0.0275782996702725,0.0273755085902025,0.0274286652336717,0.0269351981431603,0.0268470890560126
10.2,0.0306665183271888,0.027683719046652,0.0274805602375146,0.0275330562325083,0.0270375822362688,0.0269491197173558
10.3,0.0307750447773107,0.0277900215216172,0.0275865115835581,0.0276384640079599,0.0271409266626648,0.0270520391594869
10.4,0.0308844725965313,0.02789720122036,0.0276933576471095,0.0277448898971126,0.0272452313073612,0.0271558434462415
10.5,0.030994794913933,0.0280052519141155,0.0278010929473284,0.0278523352670322,0.0273504961426272,0.0272605283570492
10.6,0.031106004441372,0.0281141670086175,0.027909711451892,0.0279608015333741,0.0274567212652545,0.0273660893765479
10.7,0.0312180934548432,0.0282239395306229,0.0280192065150755,0.0280702901792299,0.0275639069383818,0.0274725216818222
10.8,0.0313310537734939,0.0283345621123808,0.0281295708040331,0.028180802774104,0.0276720536386877,0.027579820126898
10.9,0.0314448851046968,0.0284460351520809,0.0282408045669708,0.0282923510654285,0.0277811715492172,0.0276879876053388
11,0.0315595697254666,0.0285583420925618,0.028352890270566,0.0284049268171534,0.0278912523306489,0.0277970097645294
11.1,0.0316750979158634,0.0286714742525973,0.0284658178950422,0.0285185319757411,0.028002297466466,0.0279068803507574
