"Freq [GHz]","dB(St(1,1)) [] - dielectric_overlap='1um' pillar_h='10um'","dB(St(1,1)) [] - dielectric_overlap='1um' pillar_h='50um'","dB(St(1,1)) [] - dielectric_overlap='200um' pillar_h='50um'","dB(St(1,1)) [] - dielectric_overlap='205um' pillar_h='50um'"
1,-40.3961761030027,-40.4252657055184,-39.448472535073,-40.4237124001483
1.1,-40.1912160323325,-40.2747467312809,-39.2375321399526,-40.2059839443616
1.2,-39.9416858453194,-40.1205874678804,-39.0261440961272,-39.9896250002741
1.3,-39.666877549699,-39.9650028412588,-38.8167050730345,-39.7733115883271
1.4,-39.3790716777074,-39.8093189705693,-38.6104128633998,-39.556557384794
1.5,-39.085977531522,-39.6542824043333,-38.407755530223,-39.3393275271001
1.6,-38.7924155973694,-39.5002729166043,-38.2088180636231,-39.1218168501221
1.7,-38.5014146082893,-39.3474466892166,-38.0134716204028,-38.9043236866778
1.8,-38.2149003769197,-39.1958305930624,-37.8214878365248,-38.687179566714
1.9,-37.9341148470157,-39.0453828332355,-37.63260576509,-38.4707115593151
2,-37.659863017775,-38.896030871547,-37.4465692139657,-38.255223501504
2.1,-37.3926536914389,-38.7476942575132,-37.2631458842301,-38.04098796711
2.2,-37.1327777439102,-38.6002976113784,-37.0821355713183,-37.8282441760366
2.3,-36.8803524045035,-38.4537773099233,-36.9033720125079,-37.6171990475831
2.4,-36.6353494867366,-38.3080842479588,-36.7267212392932,-37.4080297974021
2.5,-36.3976180330139,-38.1631842406742,-36.5520781881431,-37.2008871864626
2.6,-36.1669065333369,-38.0190570845575,-36.3793626200661,-36.9958989458045
2.7,-35.9428863048701,-37.8756949272669,-36.2085149560574,-36.7931731403665
2.8,-35.7251754989714,-37.7331003527135,-36.0394923592066,-36.5928013701012
2.9,-35.513362258596,-37.5912844269891,-35.8722652249163,-36.3948617797207
3,-35.30702545296,-37.4502648462984,-35.7068141393731,-36.1994218852274
3.1,-35.1057518194276,-37.3100642610889,-35.5431273080195,-36.0065412405787
3.2,-34.9091489380292,-37.1707088085034,-35.3811984241349,-35.8162739695601
3.3,-34.7168540331609,-37.0322268595794,-35.2210249323982,-35.6286711802405
3.4,-34.5285390214937,-36.8946479726212,-35.06260663689,-35.4437832638071
3.5,-34.34392928983,-36.7580067543715,-34.905953219667,-35.2616758876241
3.6,-34.1627664899524,-36.6223331486416,-34.7510661755024,-35.0824051712633
3.7,-33.984812585701,-36.4876511756337,-34.59793811848,-34.9060180722394
3.8,-33.8098787242681,-36.3539881071646,-34.446569545491,-34.7325814889517
3.9,-33.6378036782907,-36.2213695874739,-34.2969598903391,-34.562169266627
4,-33.4684502011767,-36.0898194187259,-34.149107294977,-34.3948618513557
4.1,-33.3017014944384,-35.9593594194762,-34.0030084664708,-34.2307447149203
4.2,-33.1374579365466,-35.8300093426144,-33.858658601226,-34.0699052287983
4.3,-32.9756341530616,-35.7017868412004,-33.7160513612986,-33.9124277177292
4.4,-32.8161564583127,-35.5747074723435,-33.575178890401,-33.7583865695151
4.5,-32.6589606660367,-35.4487847308277,-33.4360318595611,-33.6078375433746
4.6,-32.5039902462777,-35.3240301055529,-33.2985995343533,-33.4608078061368
4.7,-32.3511947949795,-35.2004531530439,-33.1628698572403,-33.3172856923625
4.8,-32.2005287781663,-35.0780615832986,-33.0288295399063,-33.177211631771
4.9,-32.0519505121798,-34.9568613541148,-32.8964641615502,-33.0404719633701
5,-31.9054213434796,-34.8368567707698,-32.7657582700105,-32.9068972947914
5.1,-31.76090499489,-34.7180505885422,-32.6366954833065,-32.7762665586037
5.2,-31.6183670491109,-34.6004441160889,-32.5092585897735,-32.6483169897879
5.3,-31.4777745443507,-34.4840373181107,-32.383429645437,-32.522759096571
5.4,-31.3390956607632,-34.3688289161048,-32.2591900676444,-32.3992946457309
5.5,-31.2022994798649,-34.2548164862875,-32.1365207242725,-32.2776350656558
5.6,-31.0673558021823,-34.1419965540181,-32.0154020180666,-32.1575176805378
5.7,-30.9342350110281,-34.0303646842403,-31.8958139658472,-32.0387177978805
5.8,-30.8029079725612,-33.9199155676259,-31.7777362724652,-31.9210556485995
5.9,-30.6733459641607,-33.8106431022224,-31.6611483994985,-31.8043982061822
6,-30.5455373784983,-33.702551867399,-31.5460438294237,-31.6886651914119
6.1,-30.4194368960354,-33.5956228511903,-31.4323871199798,-31.5737978155029
6.2,-30.2950168010416,-33.489848003269,-31.3201573634068,-31.4597784540333
6.3,-30.172249675315,-33.3852187637463,-31.2093336348015,-31.3466132639806
6.4,-30.0511083946543,-33.2817261221,-31.0998950364204,-31.2343250199084
6.5,-29.9315661302197,-33.179360671937,-30.9918207378087,-31.1229468937426
6.6,-29.8135963532601,-33.0781126617684,-30.8850900120013,-31.0125174066621
6.7,-29.6971728420368,-32.9779720419816,-30.7796822680451,-30.9030765750696
6.8,-29.5822696900438,-32.8789285082022,-30.6755770800874,-30.7946631446914
6.9,-29.4688613148481,-32.7809715412425,-30.5727542132678,-30.6873127432185
7,-29.3569224670462,-32.684090443829,-30.4711936466448,-30.581056763607
7.1,-29.2464282389634,-32.5882743743047,-30.3708755933777,-30.4759217997145
7.2,-29.1373540728376,-32.4935123774891,-30.2717805183735,-30.3719294798126
7.3,-29.0296757683026,-32.3997934128829,-30.1738891535991,-30.2690965725573
7.4,-28.9233694890542,-32.3071063803882,-30.0771825112457,-30.1674352688084
7.5,-28.8184117686326,-32.2154401437141,-29.9816418949224,-30.0669535687008
7.6,-28.7147795152858,-32.1247835516264,-29.8872489090463,-29.967655726139
7.7,-28.612450015913,-32.0351254571938,-29.793985466581,-29.8695427240246
7.8,-28.5114009391021,-31.9464547351731,-29.7018337952705,-29.7726127783497
7.9,-28.4116103372934,-31.8587602976692,-29.6107764425006,-29.6768619144512
8,-28.3130566481089,-31.7720311081981,-29.5207962789139,-29.5822847866666
8.1,-28.2157186948983,-31.6862561942712,-29.4318765008932,-29.4888764198692
8.2,-28.1195756865485,-31.6014246586139,-29.3440006320189,-29.3966383688506
8.3,-28.0246072166165,-31.5175256891244,-29.257152523601,-29.3056177353647
8.4,-27.9307988248209,-31.4345530344564,-29.1713212388068,-29.2158564296109
8.5,-27.8381305911407,-31.3524959265975,-29.0864910639204,-29.1264858918002
8.6,-27.7465776051945,-31.2713393429194,-29.0026418789177,-29.0387031796892
8.7,-27.6561209893442,-31.1910728930718,-28.9197588448785,-28.9520186293548
8.8,-27.5667422378129,-31.1116863061235,-28.837827442187,-28.8664022487481
8.9,-27.4784232128259,-31.0331694347693,-28.7568334671585,-28.7818394966015
9,-27.3911461404221,-30.9555122588403,-28.6767630282441,-28.6983158919931
9.1,-27.3048936059777,-30.878704888178,-28.5976025418611,-28.615816563258
9.2,-27.2196485494774,-30.8027375649261,-28.5193387278971,-28.5343264157733
9.3,-27.135394260569,-30.7276006652923,-28.4419586049262,-28.4538302694927
9.4,-27.0521143734328,-30.6532847008255,-28.3654494851773,-28.3743129511931
9.5,-26.9697928614949,-30.5797803192549,-28.2897989692879,-28.2957593582197
9.6,-26.8884140320111,-30.507078304929,-28.2149949408743,-28.2181545046691
9.7,-26.8079625205464,-30.4351695788936,-28.1410255609476,-28.1414835560766
9.8,-26.7284232853719,-30.3640451986448,-28.0678792622012,-28.0657318560532
9.9,-26.6497816017997,-30.2936963575864,-27.9955447431925,-27.9908849469689
10,-26.5720230564745,-30.2241143842252,-27.9240109624412,-27.9169285860425
10.1,-26.4951335416376,-30.1552907411293,-27.8532671324637,-27.8438487577872
10.2,-26.41909924938,-30.0872170236781,-27.7833027137599,-27.7716316835061
10.3,-26.3439066658955,-30.0198849586242,-27.7141074087704,-27.7002638283695
10.4,-26.2695425657496,-29.9532864024937,-27.6456711558164,-27.6297319064911
10.5,-26.1959940061711,-29.887413339842,-27.5779841230384,-27.56002288434
10.6,-26.1232483213792,-29.8222578813869,-27.5110367023433,-27.4911239827663
10.7,-26.0512931169525,-29.7578122620349,-27.4448195033712,-27.423022677866
