"Freq [GHz]","dB(St(1,1)) [] - s='24.5um'"
1,-50.5466539072518
1.1,-49.788753630866
1.2,-49.0902456566858
1.3,-48.4432904942937
1.4,-47.8413789309589
1.5,-47.2790779964149
1.6,-46.7518239058845
1.7,-46.2557569272565
1.8,-45.7875906711793
1.9,-45.3445086702245
2,-44.924082274644
2.1,-44.5242051200658
2.2,-44.1430404858852
2.3,-43.7789787166669
2.4,-43.4306025406821
2.5,-43.09665862459
2.6,-42.7760340858552
2.7,-42.4677369739564
2.8,-42.1708799508266
2.9,-41.8846665678128
3,-41.6083796639579
3.1,-41.3413715083879
3.2,-41.0830553853422
3.3,-40.8328983793158
3.4,-40.5904151639353
3.5,-40.3551626345609
3.6,-40.126735253468
3.7,-39.904760999501
3.8,-39.6888978326078
3.9,-39.4788305986291
4,-39.2742683118876
4.1,-39.0749417630753
4.2,-38.8806014081165
4.3,-38.6910155004491
4.4,-38.5059684347753
4.5,-38.3252592750197
4.6,-38.1487004431477
4.7,-37.976116548801
4.8,-37.8073433424825
4.9,-37.6422267773853
5,-37.4806221669596
5.1,-37.3223934270187
5.2,-37.1674123926439
5.3,-37.0155582013983
5.4,-36.8667167354332
5.5,-36.7207801159958
5.6,-36.5776462446464
5.7,-36.4372183861822
5.8,-36.2994047888664
5.9,-36.1641183380794
6,-36.0313226240832
6.1,-35.9008896157894
6.2,-35.7727445163502
6.3,-35.6468160353489
6.4,-35.5230361669338
6.5,-35.4013399856394
6.6,-35.2816654582301
6.7,-35.1639532700796
6.8,-35.0481466647547
6.9,-34.9341912956126
7,-34.8220350883394
7.1,-34.7116281134695
7.2,-34.60292246802
7.3,-34.4958721654598
7.4,-34.390433033311
7.5,-34.2865626177449
7.6,-34.1842200945995
7.7,-34.0833661862961
7.8,-33.9839630841842
7.9,-33.8859743758837
8,-33.7893649772371
8.1,-33.6941010685146
8.2,-33.6001500345506
8.3,-33.5074804085157
8.4,-33.4160618190552
8.5,-33.3258649405484
8.6,-33.2368614462627
8.7,-33.1490239641971
8.8,-33.0623260354247
8.9,-32.9767420747619
9,-32.8922473336033
9.1,-32.8088178647767
9.2,-32.7264304892821
9.3,-32.6450627647907
9.4,-32.564692955789
9.5,-32.4853000052616
9.6,-32.406863507815
9.7,-32.3293636841516
9.8,-32.2527813568101
9.9,-32.1770979270943
10,-32.1022953531184
10.1,-32.0283561289019
10.2,-31.9552632644522
10.3,-31.883000266776
10.4,-31.8115511217679
10.5,-31.7409002769232
10.6,-31.6710326248315
10.7,-31.6019334874048
10.8,-31.5335886008015
10.9,-31.4659983541219
11,-31.3991345122229
11.1,-31.3329839903298
11.2,-31.2675340629404
11.3,-31.2027723517498
11.4,-31.1386868140715
11.5,-31.075265731734
11.6,-31.0124977004252
11.7,-30.9503716194654
11.8,-30.8888766819857
11.9,-30.8280023654936
12,-30.7677384228057
12.1,-30.7080748733312
12.2,-30.6490019946899
12.3,-30.5905103146472
12.4,-30.5325906033539
12.5,-30.4752338658753
12.6,-30.4184313349971
12.7,-30.3621744642956
12.8,-30.30645492146
12.9,-30.2512645818575
13,-30.1965955223278
13.1,-30.1424400151999
13.2,-30.0887905225199
13.3,-30.0356396904818
13.4,-29.9829803440523
13.5,-29.9308054817818
13.6,-29.8791082707942
13.7,-29.8278820419473
13.8,-29.7771202851582
13.9,-29.7268166448858
14,-29.6769649157651
14.1,-29.6275590383867
14.2,-29.5785930952168
14.3,-29.53006130665
14.4,-29.4819580271934
14.5,-29.4342777417728
14.6,-29.3870150621601
14.7,-29.3401647235147
14.8,-29.2937215810363
14.9,-29.2476806067234
15,-29.2020368862358
15.1,-29.1567856158548
15.2,-29.1119220995391
15.3,-29.0674417460733
15.4,-29.0233400663036
15.5,-28.9796126704602
15.6,-28.9362552655614
15.7,-28.8932636528973
15.8,-28.8506407386873
15.9,-28.8083753412603
16,-28.7664635351863
16.1,-28.7249014798229
16.2,-28.6836854171628
16.3,-28.6428116697449
16.4,-28.6022766386283
16.5,-28.5620768014252
16.6,-28.5222087103922
16.7,-28.4826689905776
16.8,-28.443454338022
16.9,-28.4045615180124
17,-28.3659873633855
17.1,-28.3277287728814
17.2,-28.2897827095428
17.3,-28.252146199162
17.4,-28.2148163287703
17.5,-28.1777902451715
17.6,-28.1410651535166
17.7,-28.1046383159183
17.8,-28.0685070501046
17.9,-28.0326687281104
18,-27.9971207750051
18.1,-27.9618606676556
18.2,-27.9268859335235
18.3,-27.8921941494958
18.4,-27.8577829407472
18.5,-27.8236499796338
18.6,-27.7897929846168
18.7,-27.7562097192155
18.8,-27.7228979909887
18.9,-27.6898556505436
19,-27.6570805905708
19.1,-27.6245707449059
19.2,-27.5923240876154
19.3,-27.5603386321074
19.4,-27.5286124302657
19.5,-27.4971435716063
19.6,-27.4659301824569
19.7,-27.434970425157
19.8,-27.4042624972792
19.9,-27.373804630871
20,-27.3435950917162
20.1,-27.3136321786143
20.2,-27.2839142226801
20.3,-27.2544395866597
20.4,-27.2252066642652
20.5,-27.1962138795249
20.6,-27.1674596861513
20.7,-27.1389471862457
20.8,-27.110670215545
20.9,-27.0826273147208
21,-27.0548170517117
21.1,-27.0272380211671
21.2,-26.9998888439049
21.3,-26.9727681663824
21.4,-26.9458746601798
21.5,-26.9192070214969
21.6,-26.892763970662
21.7,-26.8665442516516
21.8,-26.8405466316233
21.9,-26.8147699004585
22,-26.7892128703169
22.1,-26.763874375201
22.2,-26.7387532705314
22.3,-26.7138484327316
22.4,-26.6891587588228
22.5,-26.6646831660286
22.6,-26.6404205913876
22.7,-26.6163699913766
22.8,-26.5925303415411
22.9,-26.5689006361352
23,-26.5454798877691
23.1,-26.5222671270648
23.2,-26.4992614023198
23.3,-26.476461779178
23.4,-26.4538673403084
23.5,-26.4314771850904
23.6,-26.4092904293062
23.7,-26.3873062048407
23.8,-26.365523659387
23.9,-26.3439419561585
24,-26.3225602736082
24.1,-26.3013778051525
24.2,-26.2803937589025
24.3,-26.2596073573995
24.4,-26.2390178373578
24.5,-26.2186244494113
24.6,-26.1984264578664
24.7,-26.1784231404602
24.8,-26.1586137881226
24.9,-26.1389977047448
25,-26.1195742069512
25.1,-26.100342623877
25.2,-26.0813022969498
25.3,-26.0624525796752
25.4,-26.0437928374281
25.5,-26.0253224472463
25.6,-26.007044486656
25.7,-25.9889546437353
25.8,-25.9710523299356
25.9,-25.9533369675758
26,-25.9358079896563
26.1,-25.9184648396771
26.2,-25.9013069714589
26.3,-25.8843338489675
26.4,-25.8675449461422
26.5,-25.8509397467268
26.6,-25.8345177441035
26.7,-25.818278441131
26.8,-25.8022213499843
26.9,-25.7863459919982
27,-25.7706518975132
27.1,-25.7551386057246
27.2,-25.739805664534
27.3,-25.7246526304033
27.4,-25.7096790682118
27.5,-25.6948845511152
27.6,-25.6802686604076
27.7,-25.6658309853854
27.8,-25.6515711232139
27.9,-25.6374886787958
28,-25.6235832646426
28.1,-25.6098545007473
28.2,-25.5963020144597
28.3,-25.5829254403641
28.4,-25.5697244201582
28.5,-25.5566986025346
28.6,-25.5438476430641
28.7,-25.5311712040808
28.8,-25.5186689545692
28.9,-25.5063405700525
29,-25.4941857324839
29.1,-25.4822041301384
29.2,-25.4703954575068
29.3,-25.4587594151915
29.4,-25.4472957098036
29.5,-25.4360040538617
29.6,-25.4248841656923
29.7,-25.4139357693318
29.8,-25.4031585944294
29.9,-25.3925523761526
30,-25.3821168550928
30.1,-25.3718517771735
30.2,-25.3617568935584
30.3,-25.3518319605629
30.4,-25.3420767395647
30.5,-25.3324943155369
30.6,-25.3230811324896
30.7,-25.3138369667387
