"s [um]","Freq [GHz]","lost_power_fraction []"
24.5,1,0.00683483677715158
24.5,1.098,0.00731152154443482
24.5,1.196,0.00778187311305334
24.5,1.294,0.0082418800368369
24.5,1.392,0.00868873743869758
24.5,1.49,0.00912064674804502
24.5,1.588,0.00953661819845741
24.5,1.686,0.00993628999252238
24.5,1.784,0.0103197711560147
24.5,1.882,0.0106875103018639
24.5,1.98,0.0110401895059736
24.5,2.078,0.0113786408321944
24.5,2.176,0.0117037823148348
24.5,2.274,0.0120165700708863
24.5,2.372,0.0123179634168995
24.5,2.47,0.0126089002344749
24.5,2.568,0.0128902802544282
24.5,2.666,0.0131629543493387
24.5,2.764,0.013427718304629
24.5,2.862,0.0136853098658046
24.5,2.96,0.013936408131728
24.5,3.058,0.0141816345843269
24.5,3.156,0.01442155522043
24.5,3.254,0.014656683388511
24.5,3.352,0.0148874830390534
24.5,3.45,0.0151143721781638
24.5,3.548,0.0153377263752782
24.5,3.646,0.0155578822216675
24.5,3.744,0.0157751406704953
24.5,3.842,0.015989770214199
24.5,3.94,0.016202009873128
24.5,4.038,0.0164120719824002
24.5,4.136,0.0166201447731178
24.5,4.234,0.0168263947503882
24.5,4.332,0.0170309688748377
24.5,4.43,0.0172339965569708
24.5,4.528,0.0174355914753351
24.5,4.626,0.0176358532302178
24.5,4.724,0.0178348688448529
24.5,4.822,0.0180327141259892
24.5,4.92,0.0182294548952483
24.5,5.018,0.0184251481021769
24.5,5.116,0.0186198428292467
24.5,5.214,0.018813581198355
24.5,5.312,0.0190063991876958
24.5,5.41,0.0191983273671498
24.5,5.508,0.0193893915597128
24.5,5.606,0.0195796134358033
24.5,5.704,0.0197690110467248
24.5,5.802,0.0199575993029925
24.5,5.9,0.0201453904027198
24.5,5.998,0.0203323942147871
24.5,6.096,0.0205186186210967
24.5,6.194,0.0207040698217993
24.5,6.292,0.0208887526070408
24.5,6.39,0.0210726705984365
24.5,6.488,0.0212558264631916
24.5,6.586,0.0214382221035082
24.5,6.684,0.021619858823685
24.5,6.782,0.0218007374770812
24.5,6.88,0.0219808585949312
24.5,6.978,0.02216022249879
24.5,7.076,0.0223388293982596
24.5,7.174,0.022516679475452
24.5,7.272,0.0226937729575507
24.5,7.37,0.0228701101786777
24.5,7.468,0.023045691632175
24.5,7.566,0.0232205180143142
24.5,7.664,0.0233945902603256
24.5,7.762,0.0235679095735973
24.5,7.86,0.0237404774487741
24.5,7.958,0.0239122956894542
24.5,8.056,0.0240833664210844
24.5,8.154,0.0242536920996229
24.5,8.252,0.0244232755164736
24.5,8.35,0.0245921198001452
24.5,8.448,0.0247602284150559
24.5,8.546,0.0249276051578485
24.5,8.644,0.0250942541515653
24.5,8.742,0.0252601798379741
24.5,8.84,0.0254253869683303
24.5,8.938,0.0255898805928121
24.5,9.036,0.0257536660488582
24.5,9.134,0.0259167489486014
24.5,9.232,0.0260791351655744
24.5,9.33,0.0262408308208545
24.5,9.428,0.0264018422687748
24.5,9.526,0.0265621760823425
24.5,9.624,0.0267218390384639
24.5,9.722,0.0268808381030804
24.5,9.82,0.0270391804162986
24.5,9.918,0.0271968732775957
24.5,10.016,0.0273539241311599
24.5,10.114,0.0275103405514276
24.5,10.212,0.0276661302288649
24.5,10.31,0.0278213009560359
24.5,10.408,0.0279758606139977
24.5,10.506,0.0281298171590446
24.5,10.604,0.0282831786098336
24.5,10.702,0.02843595303491
24.5,10.8,0.0285881485406426
24.5,10.898,0.0287397732595938
24.5,10.996,0.0288908353393191
24.5,11.094,0.0290413429316162
24.5,11.192,0.0291913041822123
24.5,11.29,0.0293407272209028
24.5,11.388,0.0294896201521407
24.5,11.486,0.0296379910460568
24.5,11.584,0.029785847929935
24.5,11.682,0.029933198780107
24.5,11.78,0.0300800515142834
24.5,11.878,0.030226413984297
