"Freq [GHz]","dB(St(1,1)) []"
1,-46.2427973846844
1.1,-45.4287219310167
1.2,-44.6819967935871
1.3,-43.9917865694925
1.4,-43.3497047060475
1.5,-42.7491236144288
1.6,-42.1847118262827
1.7,-41.6521146218376
1.8,-41.147727993121
1.9,-40.668534970088
2,-40.2119846498052
2.1,-39.7759011303232
2.2,-39.358413819844
2.3,-38.9579033119552
2.4,-38.5729587902071
2.5,-38.2023441047137
2.6,-37.8449704636674
2.7,-37.4998742355175
2.8,-37.1661987459752
2.9,-36.8431792311779
3,-36.5301303089712
3.1,-36.2264354774515
3.2,-35.9315382592004
3.3,-35.6449346917469
3.4,-35.3661669271154
3.5,-35.0948522379022
3.6,-34.8306042913622
3.7,-34.5730381460761
3.8,-34.3218333854465
3.9,-34.0766947530392
4,-33.8373494928869
4.1,-33.6035450221135
4.2,-33.3750468888215
4.3,-33.1516369757094
4.4,-32.9331119160556
4.5,-32.7192816937935
4.6,-32.5099684036103
4.7,-32.3050051505162
4.8,-32.1042350712595
4.9,-31.9075104624362
5,-31.714692002218
5.1,-31.5256480543913
5.2,-31.3402540448964
5.3,-31.1583919023391
5.4,-30.9799495550419
5.5,-30.8048204781434
5.6,-30.6329032850681
5.7,-30.4641013583884
5.8,-30.2983225157055
5.9,-30.13547870671
6,-29.9755129028245
6.1,-29.8183158670559
6.2,-29.6638104808455
6.3,-29.5119227886534
6.4,-29.3625818081237
6.5,-29.2157193561102
6.6,-29.0712698889502
6.7,-28.9291703555558
6.8,-28.7893600620522
6.9,-28.6517805468299
7,-28.5163754650035
7.1,-28.3830904813782
7.2,-28.2518731711216
7.3,-28.1226729274259
7.4,-27.9954408755186
7.5,-27.8701297924494
7.6,-27.7466940321408
7.7,-27.6250894552403
7.8,-27.5052733633641
7.9,-27.3872044373586
8,-27.2708426792481
8.1,-27.1561493575674
8.2,-27.0430869558089
8.3,-26.9316191237407
8.4,-26.8217181074598
8.5,-26.7133492759409
8.6,-26.6064718993835
8.7,-26.5010538829404
8.8,-26.3970640893507
8.9,-26.29447230359
9,-26.1932491992126
9.1,-26.0933663062753
9.2,-25.9947959807411
9.3,-25.897511375268
9.4,-25.8014864112995
9.5,-25.7066957523769
9.6,-25.6131147786019
9.7,-25.5207195621836
9.8,-25.4294868440079
9.9,-25.3393940111742
10,-25.2504190754451
10.1,-25.1625406525636
10.2,-25.0757379423896
10.3,-24.9899907098175
10.4,-24.9052792664334
10.5,-24.821584452876
10.6,-24.7388876218695
10.7,-24.6571706218943
10.8,-24.576415781467
10.9,-24.4966149952722
11,-24.4177420918229
11.1,-24.3397807630823
11.2,-24.2627151232481
11.3,-24.1865296957152
11.4,-24.1112094005027
11.5,-24.0367395421247
11.6,-23.9631057978893
11.7,-23.8902942066044
11.8,-23.818291157678
11.9,-23.7470833805935
12,-23.6766579347481
12.1,-23.6070021996381
12.2,-23.5381038653783
12.3,-23.4699509235433
12.4,-23.4025316583165
12.5,-23.3358346379376
12.6,-23.2698487064352
12.7,-23.2045629756348
12.8,-23.1399668174321
12.9,-23.0760498563215
13,-23.0128019621701
13.1,-22.9502132432289
13.2,-22.8882740393719
13.3,-22.8269780079603
13.4,-22.7663158028353
13.5,-22.7062752895194
13.6,-22.6468476767216
13.7,-22.5880243739116
13.8,-22.5297969857754
13.9,-22.4721573068461
14,-22.4150973163062
14.1,-22.3586091729536
14.2,-22.3026852103273
14.3,-22.2473179319854
14.4,-22.1925000069321
14.5,-22.1382242651862
14.6,-22.0844836934896
14.7,-22.0312714311469
14.8,-21.978580765995
14.9,-21.9264051304969
15,-21.8747380979555
15.1,-21.8235733788429
15.2,-21.7729048172428
15.3,-21.7227263874005
15.4,-21.6730321903782
15.5,-21.6238164508111
15.6,-21.5750735137616
15.7,-21.5267978416679
15.8,-21.4789884876021
15.9,-21.4316355636648
16,-21.3847338700168
16.1,-21.3382783127778
16.2,-21.2922639014065
16.3,-21.2466857461581
16.4,-21.2015390556177
16.5,-21.1568191343038
16.6,-21.112521380344
16.7,-21.0686412832172
16.8,-21.0251744215612
16.9,-20.9821164610446
17,-20.9394631522994
17.1,-20.8972103289131
17.2,-20.8553539054785
17.3,-20.8138898756996
17.4,-20.7728143105501
17.5,-20.7321233564862
17.6,-20.6918132337079
17.7,-20.6518802344706
17.8,-20.612320721444
17.9,-20.5731311261164
18,-20.5343079472444
18.1,-20.4958477493452
18.2,-20.4577489077876
18.3,-20.420008067421
18.4,-20.3826202206616
18.5,-20.3455821824704
18.6,-20.3088908265868
18.7,-20.2725430842546
18.8,-20.2365359429832
18.9,-20.2008664453429
19,-20.1655316877918
19.1,-20.130528819535
19.2,-20.0958550414143
19.3,-20.0615076048275
19.4,-20.0274838106767
19.5,-19.9937810083449
19.6,-19.9603965946989
19.7,-19.9273280131195
19.8,-19.8945727525569
19.9,-19.862128346611
20,-19.8299923726355
20.1,-19.798162450866
20.2,-19.7666362435703
20.3,-19.7354114542215
20.4,-19.7044858266912
