"Freq [GHz]","dB(St(2,1)) []"
1,-0.0298237805483499
1.098,-0.0319159691420394
1.196,-0.0339820791756553
1.294,-0.0360044980817452
1.392,-0.0379708676771997
1.49,-0.0398732201130939
1.588,-0.0417071229469257
1.686,-0.0434708943484769
1.784,-0.0451649195988399
1.882,-0.0467910791212647
1.98,-0.0483522850547587
2.078,-0.0498521160228255
2.176,-0.0512945364689891
2.274,-0.0526836862469539
2.372,-0.0540237269657409
2.47,-0.0553187331460098
2.568,-0.0565726180643868
2.666,-0.0577890859677797
2.764,-0.0589716039831814
2.862,-0.0601233884677213
2.96,-0.0612474017265679
3.058,-0.0623463559864939
3.156,-0.0634227222775967
3.254,-0.0644787424747466
3.352,-0.0655164432139912
3.45,-0.0665376507538925
3.548,-0.0675440061205573
3.646,-0.0685369800768242
3.744,-0.0695178876060704
3.842,-0.0704879017115095
3.94,-0.0714480664121921
4.038,-0.0723993088746666
4.136,-0.073342450660094
4.234,-0.0742782180947354
4.332,-0.0752072517907858
4.43,-0.0761301153565471
4.528,-0.0770473033423544
4.626,-0.0779592484722272
4.724,-0.0788663282126106
4.822,-0.079768870729158
4.92,-0.0806671602808404
5.018,-0.0815614420984859
5.116,-0.0824519267921296
5.214,-0.0833387943285481
5.312,-0.0842221976174652
5.41,-0.0851022657418032
5.508,-0.0859791068646469
5.606,-0.0868528108426784
5.704,-0.0877234515733783
5.802,-0.0885910891008545
5.9,-0.0894557715029354
5.998,-0.0903175365801057
6.096,-0.0911764133650497
6.194,-0.0920324234697569
6.292,-0.0928855822856769
6.39,-0.0937359000509246
6.488,-0.0945833827972875
6.586,-0.0954280331885785
6.684,-0.0962698512608383
6.782,-0.0971088350739086
6.88,-0.097944981283047
6.978,-0.0987782856383928
7.076,-0.0996087434194944
7.174,-0.1004363498113
7.272,-0.10126110022756
7.37,-0.102082990586942
7.468,-0.102902017546743
7.566,-0.103718178698616
7.664,-0.104531472730258
7.762,-0.105341899556791
7.86,-0.106149460425028
7.958,-0.106954157993725
8.056,-0.107755996392445
8.154,-0.108554981261548
8.252,-0.109351119775537
8.35,-0.110144420651748
8.448,-0.110934894146256
8.546,-0.111722552038605
8.644,-0.112507407606901
8.742,-0.113289475594577
8.84,-0.114068772170075
8.938,-0.114845314880514
9.036,-0.11561912260034
9.134,-0.11639021547585
9.232,-0.117158614866354
9.33,-0.117924343282713
9.428,-0.118687424323857
9.526,-0.119447882611866
9.624,-0.120205743726097
9.722,-0.120961034136815
9.82,-0.121713781138687
9.918,-0.122464012784531
10.016,-0.12321175781957
10.114,-0.123957045616481
10.212,-0.124699906111448
10.31,-0.125440369741428
10.408,-0.12617846738279
10.506,-0.126914230291453
10.604,-0.127647690044662
10.702,-0.128378878484483
10.8,-0.129107827663087
10.898,-0.129834569789904
10.996,-0.130559137180673
11.094,-0.131281562208432
