"Freq [GHz]","dB(St(1,1)) [] - g_pillar_position='27.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='28.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='42.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='57.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='72.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='87.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='102.4um' gpillar_r='5um'"
1,-42.517095310422,-47.0981447779328,-43.1384975721314,-44.5525881183631,-51.6543478625856,-49.5680361558132,-45.4887081839213
1.1,-42.2378306876356,-46.0133131117535,-42.8726808846444,-44.2506068123659,-50.009825317085,-50.1846412678971,-45.9001408708236
1.2,-41.9761392560776,-45.1588629281437,-42.622742992007,-43.9623969049539,-48.7170357263039,-50.3089093154939,-45.9553217015377
1.3,-41.7305542080585,-44.4604262951143,-42.3877090504586,-43.688473601164,-47.6733885592745,-50.122604935493,-45.7771777399345
1.4,-41.4972839828422,-43.870920118455,-42.1639031020088,-43.4257109516334,-46.8060012201504,-49.7717751020973,-45.4650675635034
1.5,-41.2726459705939,-43.359912293555,-41.9476612215987,-43.1706531762844,-46.0667413977935,-49.335229986984,-45.0859945896411
1.6,-41.0537755524246,-42.9071510638038,-41.7361398288254,-42.9205616999012,-45.4235227068647,-48.8310184516583,-44.680553154197
1.7,-40.8386873749713,-42.4987595380485,-41.5274029470794,-42.6735901968482,-44.8543684578639,-48.2411598976414,-44.2717691092508
1.8,-40.6261258305193,-42.1249649470879,-41.320271205558,-42.4286590411713,-44.3437659080785,-47.5510078127665,-43.8721001525211
1.9,-40.4153756205579,-41.7787088228087,-41.11412273809,-42.1852572617681,-43.8804418922982,-46.7836613413511,-43.4880044535605
2,-40.2060932299143,-41.4547734641943,-40.9087145260254,-41.9432569477928,-43.4559815536051,-45.996131859324,-43.1227072613862
2.1,-39.9981754352723,-41.149219040103,-40.7040429622122,-41.702765801539,-43.0639497870757,-45.2446289922388,-42.7778573270267
2.2,-39.7916638752535,-40.8590125257933,-40.5002431477776,-41.4640199779807,-42.6993183279993,-44.5603905402398,-42.4545766581333
2.3,-39.5866792223329,-40.5817779887077,-40.2975201062331,-41.2273110783703,-42.3580830294231,-43.9503349183622,-42.1542522386943
2.4,-39.3833777136808,-40.3156253134071,-40.0961040803822,-40.9929393142704,-42.0370022806761,-43.4080576755094,-41.8793612316603
2.5,-39.1819237221943,-40.0590306145933,-39.8962230231483,-40.7611855080564,-41.7334143215808,-42.9228223079388,-41.6347006179743
2.6,-38.9824734080782,-39.8107513004347,-39.698086864617,-40.5322960219379,-41.4451070178749,-42.4840550673236,-41.4297320750346
2.7,-38.785165782343,-39.5697647260307,-39.5018795549023,-40.3064761857108,-41.1702232006591,-42.0828756701793,-41.2837480814282
2.8,-38.5901185730404,-39.3352231350358,-39.307756051523,-40.0838890569648,-40.9071905529863,-41.7122811910275,-41.2383189637207
2.9,-38.3974270924513,-39.1064199961688,-39.1158423116068,-39.8646573329526,-40.6546687282409,-41.3668735402365,-41.3870704970452
3,-38.2071648915198,-38.8827644119583,-38.9262369971365,-39.6488669607531,-40.4115087606192,-41.0425049714839,-41.9046009172566
3.1,-38.0193854029957,-38.6637613170153,-38.7390140565458,-39.4365715090559,-40.1767213803601,-40.7359668895364,-42.5051979548602
3.2,-37.8341240609605,-38.4489958810583,-38.5542256573433,-39.2277967210643,-39.9494518776453,-40.4447481931695,-41.3668729354998
3.3,-37.6514005778816,-38.2381210059518,-38.3719051526922,-39.0225449071894,-39.7289598547025,-40.1668566090458,-39.9113062934085
3.4,-37.4712211887372,-38.0308471313032,-38.1920699012086,-38.8207989927723,-39.5146026813888,-39.9006890199843,-39.1787548034256
3.5,-37.2935931320925,-37.826949277698,-38.0147360160393,-38.6225429407765,-39.3058467324257,-39.6449833742728,-38.7722022449124
3.6,-37.1185014846537,-37.6262266255985,-37.8398960900555,-38.4277305060676,-39.1021999498389,-39.3986460782643,-38.4836302869152
3.7,-36.9459112501763,-37.4285010953757,-37.6675214291683,-38.2362891116108,-38.9032135853966,-39.1607269459722,-38.2433388602922
3.8,-36.7757936494317,-37.2336416088959,-37.4975882402111,-38.0481557100926,-38.7085204823599,-38.9304656009845,-38.0263671704969
3.9,-36.6081149454494,-37.0415431463873,-37.3300669032717,-37.8632616870805,-38.517800725449,-38.7072129812297,-37.8224809809495
4,-36.4428375320095,-36.8521227974937,-37.1649232248525,-37.681534466532,-38.3307755035305,-38.4904102627614,-37.6270232350147
4.1,-36.279920856687,-36.6653162783979,-37.0021194933738,-37.5028988363068,-38.1472017705103,-38.2795725668368,-37.4376728257273
4.2,-36.1193221980342,-36.4810748462631,-36.8416153628739,-37.3272780335332,-37.9668675842564,-38.0742762063905,-37.2531742410148
4.3,-35.9609973156269,-36.2993625572862,-36.6833685887427,-37.1545946258181,-37.7895880273727,-37.8741485845575,-37.0727942423776
4.4,-35.8049009902686,-36.1201538258633,-36.5273356369218,-36.9847712201096,-37.6152016316464,-37.6788601052897,-36.8960718170167
4.5,-35.6509874699329,-35.9434312508397,-36.373472185485,-36.8177310269305,-37.443567241624,-37.4881176291555,-36.7226957803836
