"Freq [GHz]","dB(St(2,1)) [] - g_pillar_position='27.4um'","dB(St(2,1)) [] - g_pillar_position='28.4um'","dB(St(2,1)) [] - g_pillar_position='42.4um'","dB(St(2,1)) [] - g_pillar_position='57.4um'","dB(St(2,1)) [] - g_pillar_position='72.4um'","dB(St(2,1)) [] - g_pillar_position='87.4um'","dB(St(2,1)) [] - g_pillar_position='102.4um'"
1,-0.0397424441622845,-0.0397052272280422,-0.0392749457797022,-0.0392674021284694,-0.0398731391627785,-0.0404086076645081,-0.0405852617578455
1.1,-0.0406015944719515,-0.0407769607098298,-0.0401212683518911,-0.0401067887508052,-0.0409197335766875,-0.0415094969444497,-0.0416516959297395
1.2,-0.0413834239043543,-0.0417480739279756,-0.0408923747914225,-0.0408711590770478,-0.0418726284631402,-0.0424848444550128,-0.0425945359558562
1.3,-0.0420987475309355,-0.0426190004954906,-0.0415990360919484,-0.0415718416708231,-0.0427309400437894,-0.043344954820998,-0.043425458346608
1.4,-0.0427558308365123,-0.0433956306997597,-0.0422493153106944,-0.0422171814813386,-0.0434994074862082,-0.0441010548972009,-0.044158426843138
1.5,-0.0433612785634677,-0.0440864351509606,-0.0428495554473085,-0.0428136181315317,-0.0441855497429193,-0.04476307036246,-0.0448072451788358
1.6,-0.0439206030451233,-0.0447007492797793,-0.0434050050075855,-0.0433663823314634,-0.0447979381480034,-0.0453394254471942,-0.0453845608377235
1.7,-0.0444385735731049,-0.0452478133173752,-0.0439201923703502,-0.043879920524935,-0.0453452082410003,-0.0458387110111155,-0.045901553305311
1.8,-0.0449194239196941,-0.0457362778451382,-0.0443991397201714,-0.0443581420847145,-0.0458355345225171,-0.0462722913654134,-0.0463679335318693
1.9,-0.0453669722163488,-0.0461739847524417,-0.0448454812345156,-0.0448045582394929,-0.0462763836068828,-0.0466551922139854,-0.0467920769815444
2,-0.045784689450315,-0.0465679046265954,-0.0452625277302812,-0.0452223588695474,-0.0466744285429926,-0.047003285853333,-0.047181209299056
2.1,-0.046175739709985,-0.0469241584429945,-0.0456533034089342,-0.0456144557875555,-0.0470355521988781,-0.0473290053113146,-0.0475416121876357
2.2,-0.046543006148586,-0.0472480809481462,-0.0460205692751936,-0.0459835091707703,-0.0473648964773694,-0.0476395315654727,-0.0478788438287955
2.3,-0.0468891105523822,-0.0475443012467962,-0.0463668409410341,-0.0463319462603884,-0.0476669320894846,-0.0479379953053534,-0.0481979878462101
2.4,-0.0472164305772652,-0.0478168270084574,-0.0466944045328156,-0.0466619769591089,-0.0479455345637614,-0.0482255435938372,-0.0485039686655507
2.5,-0.0475271164641106,-0.0480691251593111,-0.047005332238817,-0.0469756084411716,-0.048204058738233,-0.0485027536002593,-0.0488020137349265
2.6,-0.0478231078161788,-0.0483041956691949,-0.0473014979313168,-0.0472746595626953,-0.0484454078533473,-0.0487702328159354,-0.0490984312213325
2.7,-0.0481061504244223,-0.0485246371633356,-0.0475845927993934,-0.0475607752167657,-0.0486720955980959,-0.0490287524609489,-0.0494020488829616
2.8,-0.0483778128900786,-0.048732704244542,-0.0478561407507921,-0.0478354405070111,-0.0488863007114482,-0.0492792057065814,-0.0497268691770554
