"Freq [GHz]","dB(St(1,1)) [] - g_pillar_position='49.5um'","dB(St(1,1)) [] - g_pillar_position='62um'","dB(St(1,1)) [] - g_pillar_position='74.5um'","dB(St(1,1)) [] - g_pillar_position='87um'","dB(St(1,1)) [] - g_pillar_position='99.5um'","dB(St(1,1)) [] - g_pillar_position='112um'","dB(St(1,1)) [] - g_pillar_position='124.5um'","dB(St(1,1)) [] - g_pillar_position='137um'","dB(St(1,1)) [] - g_pillar_position='149.5um'","dB(St(1,1)) [] - g_pillar_position='162um'","dB(St(1,1)) [] - g_pillar_position='174.5um'","dB(St(1,1)) [] - g_pillar_position='187um'","dB(St(1,1)) [] - g_pillar_position='199.5um'"
1,-38.9117693447824,-37.4363326667895,-38.9027252855398,-39.2594732269149,-38.4526632828461,-37.7553986570096,-39.523033109917,-38.9170819949877,-37.2292641570756,-38.6451193473742,-38.3170206829564,-39.9783146337113,-39.1624629934447
1.1,-38.4222977298775,-37.1743917555458,-38.4158216846234,-38.8777375425756,-38.1279947442028,-37.4009747176159,-39.176350837579,-38.4748818057562,-36.9149200927235,-38.1726408793101,-38.0329786496244,-39.573907089106,-38.885065189334
1.2,-37.9527935776047,-36.9108426345571,-37.9499189912735,-38.5062722427908,-37.8032904472249,-37.0444530629205,-38.8232966494414,-38.0401637161943,-36.6154728622932,-37.7214149854315,-37.756890210301,-39.1978212514183,-38.6033681998692
1.3,-37.4986493665945,-36.6434851838126,-37.4998806199581,-38.1411710299099,-37.4770511909911,-36.6860112110156,-38.4678737006351,-37.6115612585329,-36.321813669759,-37.2844344056212,-37.4829979761267,-38.8354979967878,-38.316135744104
1.4,-37.057896636165,-36.3721391739246,-37.063488026313,-37.7811851375638,-37.1497056696282,-36.3271749996596,-38.1131585533037,-37.1894666282173,-36.0301303993957,-36.8589273996559,-37.2092834321261,-38.4804113203533,-38.0241171320442
1.5,-36.629783915149,-36.0975766172335,-36.6398896834767,-37.4262826143898,-36.8224505942753,-35.9698151850051,-37.7614722447324,-36.7748850826801,-35.7392419262193,-36.4440657854556,-36.9354923690753,-38.1300777204344,-37.7288439979101
1.6,-36.2140660059879,-35.8209503377388,-36.2288167495375,-37.0769176851449,-36.4966736355582,-35.6156958135428,-37.4145293183891,-36.3688917141309,-35.4492145641266,-36.0398264389907,-36.6621305198179,-37.7839758337319,-37.432029503915
1.7,-35.8106585882643,-35.543493847739,-35.8301958517544,-36.7336702921478,-36.1736826501364,-35.2662988976859,-37.0735643207121,-35.9723984784211,-35.1606436318675,-35.6464393792368,-36.3899629175371,-37.4424557096168,-37.135286005782
1.8,-35.4194810120131,-35.2663713548594,-35.4439689195134,-36.3970793555722,-35.8545946514761,-34.9227831006501,-36.7394365805549,-35.5860774280438,-34.8742878182216,-35.2641363785287,-36.1197755775271,-37.1061768024927,-36.8400094141232
1.9,-35.040394469519,-34.9906106458392,-35.0700195389944,-36.0675760184026,-35.5403057446969,-34.5860029630042,-36.4127152747338,-35.2103582827898,-34.5908917535692,-34.8930513486763,-35.852272138025,-36.7758310136153,-36.547348221713
2,-34.6731866590252,-34.7170809379469,-34.7081522219458,-35.7454667932305,-35.2314997496631,-34.2565514469378,-36.0937474153811,-34.8454574716714,-34.3111081818657,-34.5331945393298,-35.5880380975844,-36.4520182454562,-36.2582130551
2.1,-34.3175774263455,-34.4464942238021,-34.3580962039426,-35.4309400336052,-34.9286731692926,-33.9348076789135,-35.7827115419216,-34.4914170700146,-34.0354716548,-34.1844600350755,-35.3275373196469,-36.1352016315372,-35.9733033969443
2.2,-33.9732323825734,-34.1794179969145,-34.0195190631785,-35.1240818902796,-34.6321650525268,-33.6209817207318,-35.4796597401823,-34.1481435424342,-33.7643977157572,-33.8466459983175,-35.0711225959045,-35.8257025181355,-35.6931395054113
2.3,-33.6397781601067,-33.9162926236335,-33.6920428383582,-34.8248947929861,-34.3421862030503,-33.3151532521787,-35.1845502981496,-33.8154421557354,-33.4981936369777,-33.5194776864752,-34.8190511500826,-35.5237136084855,-35.4180937215123
2.4,-33.3168164649616,-33.6574497234687,-33.3752592598269,-34.5333151734272,-34.0588453262721,-33.017303505024,-34.8972729457245,-33.4930458026768,-33.2370734156495,-33.2026287917504,-34.5715007304123,-35.2293188922154,-35.1484186330839
2.5,-33.0039358674983,-33.4031296946678,-33.0687427523001,-34.249229068598,-33.7821713294907,-32.7273408907933,-34.6176682734716,-33.180638253718,-32.9811733625396,-32.8957394498063,-34.3285843917572,-34.9425146259555,-34.8842712554198
2.6,-32.7007211423576,-33.1534975276704,-32.77206088521,-33.9724852163036,-33.5121317855695,-32.4451211806344,-34.3455426111288,-32.8778723760079,-32.7305665743473,-32.5984306149682,-34.0903632942507,-34.6632287011815,-34.6257332182778
2.7,-32.4067603561238,-32.908656606542,-32.4847824165008,-33.7029057179007,-33.2486479235802,-32.1704631786547,-34.0806793803872,-32.5843840487577,-32.4852756150203,-32.3103150964638,-33.8568574293828,-34.3913373633252,-34.3728273190844
2.8,-32.1216500434838,-32.6686604956908,-32.206483260865,-33.4402945387974,-32.9916066331456,-31.9031607646512,-33.8228477180527,-32.2998025394952,-32.2452832580174,-32.031005765768,-33.628054439086,-34.1266790738237,-34.1255309338226
2.9,-31.8449988355729,-32.4335228566159,-31.9367507569564,-33.1844441767062,-32.7408699786581,-31.6429920614107,-33.5718089903724,-32.0237580589208,-32.0105413928134,-31.7601214774766,-33.4039167837274,-33.8690656972442,-33.8837867906499
3,-31.5764298740622,-32.2032257021754,-31.6751865863527,-32.9351408217896,-32.4962826774294,-31.3897263507905,-33.327321680573,-31.7558871218909,-31.7809783036128,-31.4972911984225,-33.1843875271859,-33.6182913531247,-33.6475115710778
