Freq.	S12(V1)
1.00000000000000e+09	(-5.28690952206683e-01dB,-2.11199921613494e+01°)
1.04904904904905e+09	(-5.28906729320077e-01dB,-2.21557328587701e+01°)
1.09809809809810e+09	(-5.29132427104883e-01dB,-2.31914484940948e+01°)
1.14714714714715e+09	(-5.29367987072239e-01dB,-2.42271379081987e+01°)
1.19619619619620e+09	(-5.29613347834561e-01dB,-2.52627999441061e+01°)
1.24524524524525e+09	(-5.29868445078068e-01dB,-2.62984334471911e+01°)
1.29429429429429e+09	(-5.30133211534364e-01dB,-2.73340372653848e+01°)
1.34334334334334e+09	(-5.30407576951841e-01dB,-2.83696102493967e+01°)
1.39239239239239e+09	(-5.30691468066112e-01dB,-2.94051512529041e+01°)
1.44144144144144e+09	(-5.30984808570493e-01dB,-3.04406591328206e+01°)
1.49049049049049e+09	(-5.31287519085983e-01dB,-3.14761327495482e+01°)
1.53953953953954e+09	(-5.31599517130918e-01dB,-3.25115709672228e+01°)
1.58858858858859e+09	(-5.31920717090622e-01dB,-3.35469726540073e+01°)
1.63763763763764e+09	(-5.32251030186981e-01dB,-3.45823366823831e+01°)
1.68668668668669e+09	(-5.32590364447795e-01dB,-3.56176619294339e+01°)
1.73573573573574e+09	(-5.32938624676755e-01dB,-3.66529472772150e+01°)
1.78478478478478e+09	(-5.33295712422920e-01dB,-3.76881916130212e+01°)
1.83383383383383e+09	(-5.33661525951229e-01dB,-3.87233938298021e+01°)
1.88288288288288e+09	(-5.34035960212774e-01dB,-3.97585528264754e+01°)
1.93193193193193e+09	(-5.34418906816017e-01dB,-4.07936675083334e+01°)
1.98098098098098e+09	(-5.34810253998336e-01dB,-4.18287367874298e+01°)
2.03003003003003e+09	(-5.35209886598479e-01dB,-4.28637595829963e+01°)
2.07907907907908e+09	(-5.35617686029509e-01dB,-4.38987348218527e+01°)
2.12812812812813e+09	(-5.36033530252956e-01dB,-4.49336614388556e+01°)
2.17717717717718e+09	(-5.36457293753815e-01dB,-4.59685383773591e+01°)
2.22622622622623e+09	(-5.36888847516695e-01dB,-4.70033645896757e+01°)
2.27527527527528e+09	(-5.37328059003125e-01dB,-4.80381390375678e+01°)
2.32432432432432e+09	(-5.37774792130280e-01dB,-4.90728606927473e+01°)
2.37337337337337e+09	(-5.38228907251083e-01dB,-5.01075285373952e+01°)
2.42242242242242e+09	(-5.38690261135893e-01dB,-5.11421415646951e+01°)
2.47147147147147e+09	(-5.39158706955640e-01dB,-5.21766987793613e+01°)
2.52052052052052e+09	(-5.39634094267068e-01dB,-5.32111991982253e+01°)
2.56956956956957e+09	(-5.40116268999682e-01dB,-5.42456418508075e+01°)
2.61861861861862e+09	(-5.40605073444428e-01dB,-5.52800257798857e+01°)
2.66766766766767e+09	(-5.41100346244883e-01dB,-5.63143500421216e+01°)
2.71671671671672e+09	(-5.41601922390394e-01dB,-5.73486137086742e+01°)
2.76576576576577e+09	(-5.42109633211596e-01dB,-5.83828158658297e+01°)
2.81481481481481e+09	(-5.42623306378252e-01dB,-5.94169556156459e+01°)
2.86386386386386e+09	(-5.43142765899755e-01dB,-6.04510320766092e+01°)
2.91291291291291e+09	(-5.43667832128177e-01dB,-6.14850443843082e+01°)
2.96196196196196e+09	(-5.44198321764073e-01dB,-6.25189916921203e+01°)
3.01101101101101e+09	(-5.44734047865121e-01dB,-6.35528731718971e+01°)
3.06006006006006e+09	(-5.45274819857635e-01dB,-6.45866880146711e+01°)
3.10910910910911e+09	(-5.45820443551332e-01dB,-6.56204354313803e+01°)
3.15815815815816e+09	(-5.46370721157025e-01dB,-6.66541146535874e+01°)
3.20720720720721e+09	(-5.46925451307596e-01dB,-6.76877249342165e+01°)
3.25625625625626e+09	(-5.47484429082480e-01dB,-6.87212655482989e+01°)
3.30530530530531e+09	(-5.48047446035345e-01dB,-6.97547357937236e+01°)
3.35435435435435e+09	(-5.48614290225630e-01dB,-7.07881349920142e+01°)
3.40340340340340e+09	(-5.49184746253148e-01dB,-7.18214624890694e+01°)
3.45245245245245e+09	(-5.49758595297117e-01dB,-7.28547176559596e+01°)
3.50150150150150e+09	(-5.50335615158374e-01dB,-7.38878998897027e+01°)
3.55055055055055e+09	(-5.50915580305760e-01dB,-7.49210086140420e+01°)
3.59959959959960e+09	(-5.51498261926511e-01dB,-7.59540432802483e+01°)
3.64864864864865e+09	(-5.52083427980417e-01dB,-7.69870033679008e+01°)
3.69769769769770e+09	(-5.52670843258327e-01dB,-7.80198883856878e+01°)
3.74674674674675e+09	(-5.53260269444734e-01dB,-7.90526978722061e+01°)
3.79579579579580e+09	(-5.53851465184578e-01dB,-8.00854313967548e+01°)
3.84484484484484e+09	(-5.54444186154423e-01dB,-8.11180885601366e+01°)
3.89389389389389e+09	(-5.55038185137906e-01dB,-8.21506689954524e+01°)
3.94294294294294e+09	(-5.55633212105663e-01dB,-8.31831723689003e+01°)
3.99199199199199e+09	(-5.56229014299635e-01dB,-8.42155983805580e+01°)
4.04104104104104e+09	(-5.56825336322036e-01dB,-8.52479467651864e+01°)
4.09009009009009e+09	(-5.57421920228711e-01dB,-8.62802172930004e+01°)
4.13913913913914e+09	(-5.58018505627138e-01dB,-8.73124097704488e+01°)
4.18818818818819e+09	(-5.58614829779038e-01dB,-8.83445240409889e+01°)
4.23723723723724e+09	(-5.59210627707690e-01dB,-8.93765599858498e+01°)
4.28628628628629e+09	(-5.59805632309771e-01dB,-9.04085175247763e+01°)
4.33533533533533e+09	(-5.60399574472037e-01dB,-9.14403966167850e+01°)
4.38438438438438e+09	(-5.60992183192517e-01dB,-9.24721972608852e+01°)
4.43343343343343e+09	(-5.61583185706603e-01dB,-9.35039194968075e+01°)
4.48248248248248e+09	(-5.62172307617629e-01dB,-9.45355634056998e+01°)
4.53153153153153e+09	(-5.62759273032351e-01dB,-9.55671291108332e+01°)
4.58058058058058e+09	(-5.63343804700822e-01dB,-9.65986167782581e+01°)
4.62962962962963e+09	(-5.63925624161279e-01dB,-9.76300266174806e+01°)
4.67867867867868e+09	(-5.64504451889331e-01dB,-9.86613588820915e+01°)
4.72772772772773e+09	(-5.65080007451979e-01dB,-9.96926138703917e+01°)
4.77677677677678e+09	(-5.65652009666082e-01dB,-1.00723791925990e+02°)
4.82582582582583e+09	(-5.66220176761464e-01dB,-1.01754893438385e+02°)
4.87487487487488e+09	(-5.66784226548311e-01dB,-1.02785918843513e+02°)
4.92392392392392e+09	(-5.67343876589242e-01dB,-1.03816868624294e+02°)
4.97297297297297e+09	(-5.67898844375492e-01dB,-1.04847743311116e+02°)
5.02202202202202e+09	(-5.68448847507604e-01dB,-1.05878543482338e+02°)
5.07107107107107e+09	(-5.68993603880135e-01dB,-1.06909269764719e+02°)
5.12012012012012e+09	(-5.69532831870759e-01dB,-1.07939922833858e+02°)
5.16916916916917e+09	(-5.70066250533111e-01dB,-1.08970503414579e+02°)
5.21821821821822e+09	(-5.70593579793854e-01dB,-1.10001012281291e+02°)
5.26726726726727e+09	(-5.71114540653425e-01dB,-1.11031450258315e+02°)
5.31631631631632e+09	(-5.71628855390682e-01dB,-1.12061818220191e+02°)
5.36536536536537e+09	(-5.72136247770976e-01dB,-1.13092117091918e+02°)
5.41441441441441e+09	(-5.72636443257965e-01dB,-1.14122347849196e+02°)
5.46346346346346e+09	(-5.73129169228627e-01dB,-1.15152511518605e+02°)
5.51251251251251e+09	(-5.73614155191609e-01dB,-1.16182609177751e+02°)
5.56156156156156e+09	(-5.74091133008665e-01dB,-1.17212641955383e+02°)
5.61061061061061e+09	(-5.74559837119037e-01dB,-1.18242611031451e+02°)
5.65965965965966e+09	(-5.75020004766647e-01dB,-1.19272517637149e+02°)
5.70870870870871e+09	(-5.75471376229897e-01dB,-1.20302363054882e+02°)
5.75775775775776e+09	(-5.75913695054017e-01dB,-1.21332148618225e+02°)
5.80680680680681e+09	(-5.76346708285542e-01dB,-1.22361875711802e+02°)
5.85585585585586e+09	(-5.76770166709163e-01dB,-1.23391545771158e+02°)
5.90490490490491e+09	(-5.77183825086165e-01dB,-1.24421160282542e+02°)
5.95395395395395e+09	(-5.77587442394906e-01dB,-1.25450720782684e+02°)
6.00300300300300e+09	(-5.77980782072605e-01dB,-1.26480228858492e+02°)
6.05205205205205e+09	(-5.78363612258548e-01dB,-1.27509686146720e+02°)
6.10110110110110e+09	(-5.78735706038372e-01dB,-1.28539094333574e+02°)
6.15015015015015e+09	(-5.79096841689224e-01dB,-1.29568455154276e+02°)
6.19919919919920e+09	(-5.79446802925590e-01dB,-1.30597770392568e+02°)
6.24824824824825e+09	(-5.79785379145503e-01dB,-1.31627041880179e+02°)
6.29729729729730e+09	(-5.80112365677059e-01dB,-1.32656271496217e+02°)
6.34634634634635e+09	(-5.80427564024719e-01dB,-1.33685461166525e+02°)
6.39539539539540e+09	(-5.80730782115382e-01dB,-1.34714612862983e+02°)
6.44444444444444e+09	(-5.81021834543936e-01dB,-1.35743728602747e+02°)
6.49349349349349e+09	(-5.81300542817949e-01dB,-1.36772810447432e+02°)
