"Freq [GHz]","dB(St(1,1)) []"
1,-28.6900160697114
1.1,-28.5032215441739
1.2,-28.3164270186365
1.3,-28.1406684915738
1.4,-27.9676689641297
1.5,-27.7992389270679
1.6,-27.6338552169276
1.7,-27.4703355887579
1.8,-27.3096120835444
1.9,-27.1495935563978
2,-26.9923949415192
2.1,-26.8351963266406
2.2,-26.681361773403
2.3,-26.5275272201654
2.4,-26.3766400634367
2.5,-26.2264897558352
2.6,-26.0788627711952
2.7,-25.9329180018628
2.8,-25.7888827862116
2.9,-25.6477119010822
3,-25.5076027830359
3.1,-25.3717407333218
3.2,-25.2358786836078
3.3,-25.1057896270087
3.4,-24.9757005704096
3.5,-24.8505347754437
3.6,-24.7265997958861
3.7,-24.6065373843826
3.8,-24.4890566849153
3.9,-24.3742495260771
4,-24.2634526781825
4.1,-24.1540272626499
4.2,-24.0500875765651
4.3,-23.9461478904804
4.4,-23.849198446393
4.5,-23.7522490023055
4.6,-23.6609789316347
4.7,-23.5711287043181
4.8,-23.4855980521017
4.9,-23.4029471166188
5,-23.3232178216895
5.1,-23.2478709875906
5.2,-23.1740092139363
5.3,-23.1060876820607
5.4,-23.038166150185
5.5,-22.9778169662576
5.6,-22.9174677823302
5.7,-22.8633205206813
5.8,-22.810723739602
5.9,-22.7629091817782
6,-22.7182827727915
6.1,-22.6769479807137
6.2,-22.6405506139992
6.3,-22.6058591182497
6.4,-22.5779911063602
6.5,-22.5501230944707
6.6,-22.5311259679182
6.7,-22.5121288413656
6.8,-22.5005338578307
6.9,-22.4907894100501
7,-22.4868497650824
7.1,-22.4867799886567
7.2,-22.490766180613
7.3,-22.5008363251424
7.4,-22.5130379836478
7.5,-22.5337656980568
7.6,-22.5544934124658
7.7,-22.5864667883424
7.8,-22.6184401642191
7.9,-22.659958980524
8,-22.7038641569359
8.1,-22.7554189257815
8.2,-22.8120734229162
8.3,-22.8742194521231
8.4,-22.9446027794382
8.5,-23.0179640864369
8.6,-23.1032373121696
8.7,-23.1885105379023
8.8,-23.2900253231641
8.9,-23.3915401084258
9,-23.5072921841119
9.1,-23.6266035824041
9.2,-23.7576703192586
9.3,-23.8965739484882
9.4,-24.0441588022005
9.5,-24.2047654926369
9.6,-24.3702210478605
9.7,-24.5550720622328
9.8,-24.7399230766052
9.9,-24.9521491597078
10,-25.1643752428103
10.1,-25.4016508862007
10.2,-25.6451889196631
10.3,-25.9105431884413
10.4,-26.1904416140969
10.5,-26.4875289958948
10.6,-26.8103998119064
10.7,-27.1436408403347
10.8,-27.5183627184297
10.9,-27.8930845965248
11,-28.331953565338
11.1,-28.7708225341513
11.2,-29.275172990071
11.3,-29.7958938177673
11.4,-30.3818035885202
11.5,-31.0111726546442
11.6,-31.7013149921171
11.7,-32.4826172366132
11.8,-33.3095569547383
11.9,-34.3190465673793
12,-35.3285361800202
12.1,-36.7168220818687
12.2,-38.1051079837172
12.3,-40.0583447864382
12.4,-42.1528193143774
12.5,-44.5537595159396
12.6,-47.1590101665837
12.7,-47.8824883467141
12.8,-45.7833078210742
12.9,-43.6276183846113
13,-41.2458933048568
13.1,-38.8641682251024
13.2,-37.2863252298891
13.3,-35.7084822346758
13.4,-34.4731100252326
13.5,-33.323355512232
13.6,-32.3245280199203
13.7,-31.4263185414013
13.8,-30.5939180112712
13.9,-29.8602309037246
14,-29.1497835920474
14.1,-28.532295463848
14.2,-27.9148073356487
14.3,-27.3840951978502
14.4,-26.8533830600517
14.5,-26.3767363090304
14.6,-25.9136059047034
14.7,-25.4831051085407
14.8,-25.0743573844875
14.9,-24.6835796752201
15,-24.3197569881313
15.1,-23.9635190452698
15.2,-23.6376200793175
15.3,-23.3117211133652
15.4,-23.0184266724422
15.5,-22.7251322315193
15.6,-22.4546215262372
15.7,-22.1898067548654
15.8,-21.9401301908629
15.9,-21.7005457651065
16,-21.4700180753572
16.1,-21.2530754896186
16.2,-21.0402461235601
16.3,-20.8438696362227
16.4,-20.6474931488852
16.5,-20.4700160412336
16.6,-20.292538933582
16.7,-20.1291167093108
16.8,-19.9692082058847
16.9,-19.8192134138601
17,-19.6758277627699
17.1,-19.5387332163628
17.2,-19.4110753269806
17.3,-19.286449624439
17.4,-19.1739526692596
17.5,-19.0614557140803
17.6,-18.9637650525043
17.7,-18.8660743909283
17.8,-18.7801000792238
17.9,-18.6970548549873
18,-18.6227973182751
18.1,-18.5543982399124
18.2,-18.4919007543369
18.3,-18.4382556579422
18.4,-18.3875903604531
18.5,-18.348844258586
18.6,-18.310098156719
18.7,-18.2863761398426
18.8,-18.2626541229662
18.9,-18.2510270323715
19,-18.2424236733474
19.1,-18.242955540923
19.2,-18.2495775595652
19.3,-18.2623637556016
19.4,-18.2843962177292
19.5,-18.3095738101593
19.6,-18.347331923799
19.7,-18.3850900374388
19.8,-18.4390409496447
19.9,-18.4929918618506
20,-18.5603926049666
20.1,-18.6311558058103
20.2,-18.7124668972903
20.3,-18.8008099158613
20.4,-18.8965525712495
20.5,-19.0033946818637
20.6,-19.1141544788294
20.7,-19.2405850212016
20.8,-19.3670155635737
20.9,-19.5143300385425
21,-19.6616445135113
21.1,-19.8269126859157
21.2,-19.996669282679
21.3,-20.1810323037294
21.4,-20.3751329409712
21.5,-20.5799144099967
21.6,-20.8007171266977
21.7,-21.027454041742
21.8,-21.2779277501595
21.9,-21.5284014585771
22,-21.8123403891995
22.1,-22.0962793198218
22.2,-22.4109270493711
22.3,-22.733251978652
22.4,-23.0824949847803
22.5,-23.4496833754735
22.6,-23.8382800269866
22.7,-24.2589890697294
22.8,-24.6927506109547
22.9,-25.1787221461107
23,-25.6646936812666
23.1,-26.2320249655715
23.2,-26.7993562498765
23.3,-27.4493430497728
23.4,-28.1199937285669
23.5,-28.8695027665699
23.6,-29.6715840440454
23.7,-30.5361660489662
23.8,-31.4944991450545
23.9,-32.475918164938
24,-33.5496808800017
24.1,-34.6234435950653
24.2,-35.4569319598128
24.3,-36.2904203245602
24.4,-36.3289951752579
24.5,-36.1688416474432
24.6,-35.5007205570195
24.7,-34.4939544248564
24.8,-33.4419224541852
24.9,-32.3219917257518
25,-31.2299412974116
25.1,-30.249412069444
25.2,-29.2688828414764
25.3,-28.4422464465991
25.4,-27.6156100517217
25.5,-26.8901165571177
25.6,-26.1899087875819
25.7,-25.5495288081266
25.8,-24.9490340220583
25.9,-24.3802783353962
26,-23.8591312978436
26.1,-23.3508769124377
26.2,-22.8941931356195
26.3,-22.4375093588013
26.4,-22.0343843099123
26.5,-21.6312592610234
26.6,-21.2644921726248
26.7,-20.9068145743489
26.8,-20.5727154218809
26.9,-20.2543352332849
27,-19.9497705467035
27.1,-19.6659291131439
27.2,-19.3882436108452
27.3,-19.1351818335898
27.4,-18.8821200563345
27.5,-18.656805823645
27.6,-18.4314915909556
27.7,-18.226377891824
27.8,-18.0263143260819
27.9,-17.8401427091126
28,-17.6632323913253
28.1,-17.4948657876159
28.2,-17.3393147550235
28.3,-17.1877240613951
28.4,-17.0519747236231
28.5,-16.916225385851
28.6,-16.7989107244885
28.7,-16.6815960631259
28.8,-16.5780636583124
28.9,-16.4779768176361
29,-16.3875863432713
29.1,-16.303660113114
29.2,-16.2258199857421
29.3,-16.1571090125482
29.4,-16.0912708285764
29.5,-16.0369238014931
29.6,-15.9825767744099
29.7,-15.9417788319704
29.8,-15.9009808895309
29.9,-15.8703496572339
30,-15.8422601024725
