"Freq [GHz]","dB(St(2,1)) []"
1,-0.307746929568044
1.22,-0.321310052457853
1.44,-0.331396006268402
1.66,-0.339264478521905
1.88,-0.34575494083734
2.1,-0.351404944678143
2.32,-0.356555535847487
2.54,-0.361422750398677
2.76,-0.366142709176809
2.98,-0.370799601403897
3.2,-0.375443156103276
3.42,-0.38009972931758
3.64,-0.384779487003414
3.86,-0.389481158890139
4.08,-0.394195244708737
4.3,-0.398906206317034
4.52,-0.403593975805332
4.74,-0.408234990897058
4.96,-0.412802900227855
5.18,-0.417269042431015
5.4,-0.42160278300214
5.62,-0.42577178549689
5.84,-0.42974229597151
6.06,-0.433479531374859
6.28,-0.436948285192354
6.5,-0.440113898826822
6.72,-0.442943794382102
6.94,-0.445409814562446
7.16,-0.447491639295809
7.38,-0.449181481138768
7.6,-0.450489988283955
7.82,-0.451452661834871
8.04,-0.452135058346596
8.26,-0.452633851127117
8.48,-0.453070294618579
8.7,-0.453574062694528
8.92,-0.454259557374745
9.14,-0.455202229275282
9.36,-0.456425286600016
9.58,-0.457903547060386
9.8,-0.459582081936913
10.02,-0.461399681226423
10.24,-0.4633071524315
10.46,-0.465276327364218
10.68,-0.467301170506794
10.9,-0.46939437675178
11.12,-0.47158230937193
11.34,-0.473899952955735
11.56,-0.476386640090711
11.78,-0.479082753631105
12,-0.482027305809208
12.22,-0.48525617259964
12.44,-0.488800755098909
12.66,-0.49268689103985
12.88,-0.496933906077954
13.1,-0.501553754426255
13.32,-0.506550244954271
13.54,-0.511918381796903
13.76,-0.517643869288519
13.98,-0.52370284098935
14.2,-0.530061872777556
14.42,-0.536678331541207
14.64,-0.543501095322967
14.86,-0.55047165966365
15.08,-0.557525620549403
15.3,-0.564594499169893
15.52,-0.571607850006121
15.74,-0.578495573695933
15.96,-0.585190341383686
16.18,-0.591630029070917
16.4,-0.597760059632997
16.62,-0.603535557138725
16.84,-0.608923233358333
17.06,-0.613902950650987
17.28,-0.618468940419956
17.5,-0.622630705210227
17.72,-0.626413701074233
17.94,-0.629859994571756
18.16,-0.633029229294146
18.38,-0.636000432226539
18.6,-0.638875420227343
18.82,-0.641784650493544
19.04,-0.644895486241628
19.26,-0.648418054830957
19.48,-0.652586174437325
19.7,-0.657543095071314
19.92,-0.663008748927327
20.14,-0.667847626396508
20.36,-0.670536225094849
20.58,-0.67087520734863
20.8,-0.670211455672938
21.02,-0.669812509807332
21.24,-0.670169269427813
21.46,-0.671302523174368
21.68,-0.673090077462992
21.9,-0.675402152162262
22.12,-0.678135404296957
22.34,-0.681213903116123
22.56,-0.684582883099792
22.78,-0.688202593337565
23,-0.692043674493214
23.22,-0.696083978613864
23.44,-0.700306493239254
23.66,-0.704698073769967
23.88,-0.709248763871154
24.1,-0.713951537087597
24.32,-0.718802322754966
24.54,-0.723800195211779
24.76,-0.728947615805018
24.98,-0.734250627619035
25.2,-0.739718915832418
25.42,-0.745365662769649
25.64,-0.751207145624461
25.86,-0.757262045610195
26.08,-0.76355045901239
26.3,-0.770092622522144
26.52,-0.776907386768664
26.74,-0.784010492718202
26.96,-0.791412725111884
27.18,-0.799118034740739
27.4,-0.807121736106711
27.62,-0.815408897473556
27.84,-0.823953044621467
28.06,-0.832715295686656
28.28,-0.841644030250021
28.5,-0.85067516983333
28.72,-0.859733108768907
28.94,-0.86873228525276
29.16,-0.877579325470196
29.38,-0.886175634097886
29.6,-0.894420248759077
29.82,-0.902212731018601
30.04,-0.909455838420896
30.26,-0.91605771579128
30.48,-0.921933365093627
30.7,-0.927005216977608
30.92,-0.931202789558003
31.14,-0.934461876409932
31.36,-0.936725123654663
31.58,-0.937950542167941
31.8,-0.938150617137856
32.02,-0.937540629295
32.24,-0.937047989469593
32.46,-0.939623931538657
32.68,-0.950082833403935
32.9,-0.964083248015646
33.12,-0.969417154349914
33.34,-0.967182708385909
33.56,-0.962359825454313
33.78,-0.957019644294964
34,-0.951723364146334
34.22,-0.946600311669477
34.44,-0.941686997657096
34.66,-0.937015611090257
34.88,-0.932633595726916
35.1,-0.928605300597512
35.32,-0.925009323280276
35.54,-0.921935021573223
35.76,-0.919478928164227
35.98,-0.917741102165492
36.2,-0.916821327515105
36.42,-0.916815110790347
36.64,-0.917809520999398
36.86,-0.919879012651357
37.08,-0.92308146148082
37.3,-0.927454703138955
37.52,-0.933013883392547
37.74,-0.93974989277841
37.96,-0.947629067549929
38.18,-0.956594203311552
38.4,-0.966566771682524
38.62,-0.97745008483782
38.84,-0.989133048020192
39.06,-1.00149409642771
39.28,-1.01440493509079
39.5,-1.02773377745088
39.72,-1.04134788827983
39.94,-1.05511535380515
40.16,-1.06890610469238
40.38,-1.08259229258077
40.6,-1.09604816446351
40.82,-1.10914959564054
41.04,-1.12177344044692
41.26,-1.13379685133705
41.48,-1.14509671103182
41.7,-1.15554932611103
41.92,-1.16503054582269
42.14,-1.17341649295501
42.36,-1.18058511281923
42.58,-1.18641874222623
42.8,-1.19080784767124
43.02,-1.19365595712048
43.24,-1.19488560344436
43.46,-1.19444483034962
43.68,-1.19231354481678
43.9,-1.18850882850842
44.12,-1.18308834158862
44.34,-1.17615121624674
44.56,-1.16783630592375
44.78,-1.15831820453329
45,-1.14780187123705
