"Freq [GHz]","dB(St(2,1)) []"
1,-0.272382420979565
1.055,-0.274291604853723
1.11,-0.276145699357954
1.165,-0.277951936489134
1.22,-0.279715619043873
1.275,-0.281440683346081
1.33,-0.283130106235355
1.385,-0.284786197361689
1.44,-0.286410807371521
1.495,-0.288005474674527
1.55,-0.289571527576625
1.605,-0.291110154169645
1.66,-0.292622449104258
1.715,-0.294109443951365
1.77,-0.295572126061095
1.825,-0.29701144949752
1.88,-0.298428340641269
1.935,-0.299823700323086
1.99,-0.301198403813315
2.045,-0.302553299596529
2.1,-0.303889207570866
2.155,-0.305206917100506
2.21,-0.306507185197707
2.265,-0.307790735001679
2.32,-0.309058254645055
2.375,-0.310310396545523
2.43,-0.311547777124323
2.485,-0.312770976930116
2.54,-0.313980541132429
2.595,-0.315176980341053
2.65,-0.316360771704414
2.705,-0.317532360239601
2.76,-0.318692160348468
2.815,-0.31984055747713
2.87,-0.320977909880053
2.925,-0.322104550453714
2.98,-0.323220788609227
3.035,-0.324326912157241
3.09,-0.325423189182334
3.145,-0.326509869887718
3.2,-0.327587188394374
3.255,-0.328655364481745
3.31,-0.329714605259786
3.365,-0.330765106764377
3.42,-0.331807055470532
3.475,-0.332840629719289
3.53,-0.333866001055868
3.585,-0.334883335478116
3.64,-0.335892794595204
3.695,-0.336894536697686
3.75,-0.337888717740693
3.805,-0.338875492242773
3.86,-0.339855014103327
3.915,-0.340827437342109
3.97,-0.341792916764564
4.025,-0.342751608556861
4.08,-0.343703670814895
4.135,-0.344649264011398
4.19,-0.345588551405366
4.245,-0.346521699398226
4.3,-0.347448877840689
4.355,-0.348370260294471
4.41,-0.349286024252811
4.465,-0.350196351323489
4.52,-0.351101427377819
4.575,-0.352001442669034
4.63,-0.352896591922956
4.685,-0.35378707440365
4.74,-0.354673093956566
4.795,-0.355554859030988
4.85,-0.356432582683452
4.905,-0.357306482563335
4.96,-0.358176780881037
5.015,-0.359043704359061
5.07,-0.359907484165204
5.125,-0.360768355826706
5.18,-0.361626559123273
5.235,-0.36248233795587
5.29,-0.363335940187434
5.345,-0.364187617449991
5.4,-0.365037624911845
5.455,-0.365886220996352
5.51,-0.366733667042271
5.565,-0.367580226893322
5.62,-0.368426166402072
5.675,-0.369271752830275
5.73,-0.370117254124126
5.785,-0.370962938038976
5.84,-0.371809071082811
5.895,-0.372655917242443
5.95,-0.37350373644914
6.005,-0.374352782732925
6.06,-0.375203302004998
6.115,-0.376055529397092
6.17,-0.376909686073714
6.225,-0.377765975418283
6.28,-0.378624578477086
6.335,-0.379485648525104
6.39,-0.380349304595142
6.445,-0.381215623786168
6.5,-0.38208463213804
6.555,-0.382956293828783
6.61,-0.383830498416557
6.665,-0.38470704581409
6.72,-0.385585628648868
6.775,-0.386465811631687
6.83,-0.387347007533234
6.885,-0.388228449359588
6.94,-0.389109158331849
6.995,-0.389987907326216
7.05,-0.390863179534646
7.105,-0.391733122287186
7.16,-0.392595496263831
7.215,-0.393447620753005
7.27,-0.394286316228832
7.325,-0.395107846366576
7.38,-0.39590786274079
7.435,-0.396681356887431
7.49,-0.397422626163761
7.545,-0.398125261858555
7.6,-0.398782170150304
7.655,-0.399385638511123
7.71,-0.39992746156284
7.765,-0.400399140561625
7.82,-0.400792168783654
7.875,-0.401098410177521
7.93,-0.401310569923762
7.985,-0.401422742639057
8.04,-0.401431007430109
8.095,-0.401334020732043
8.15,-0.401133541307905
8.205,-0.400834811654879
8.26,-0.400446721341646
8.315,-0.399981694066885
8.37,-0.399455271790983
8.425,-0.398885411941392
8.48,-0.398291558956657
8.535,-0.397693588685463
8.59,-0.39711074400514
8.645,-0.396560677616127
8.7,-0.396058694681857
8.755,-0.395617250706209
8.81,-0.395245718497267
8.865,-0.394950401469527
8.92,-0.394734745045741
8.975,-0.394599685657329
9.03,-0.394544076452543
9.085,-0.394565136873332
9.14,-0.394658885770522
9.195,-0.394820531258689
9.25,-0.395044802715425
9.305,-0.395326219983721
9.36,-0.395659301619116
9.415,-0.396038718185623
9.47,-0.396459398676362
9.525,-0.396916598710442
9.58,-0.397405938775624
9.635,-0.3979234198705
9.69,-0.398465422756801
9.745,-0.399028695857539
9.8,-0.399610335747426
9.855,-0.400207763233684
9.91,-0.400818697237008
9.965,-0.40144112804972
10.02,-0.402073291054773
10.075,-0.402713641614675
10.13,-0.403360831561191
10.185,-0.404013687515782
10.24,-0.404671191128783
10.295,-0.405332461228906
10.35,-0.4059967378113
10.405,-0.406663367753749
10.46,-0.407331792129138
10.515,-0.408001534972966
10.57,-0.40867219336416
10.625,-0.409343428681115
10.68,-0.410014958903321
10.735,-0.410686551837946
10.79,-0.411358019161623
10.845,-0.4120292111779
10.9,-0.41270001220157
10.955,-0.413370336490469
11.01,-0.414040124655012
11.065,-0.414709340483439
11.12,-0.415377968128924
11.175,-0.416046009611054
11.23,-0.416713482590564
11.285,-0.417380418381455
11.34,-0.418046860169354
11.395,-0.418712861409418
11.45,-0.419378484380434
11.505,-0.420043798875506
11.56,-0.42070888101198
11.615,-0.421373812146368
11.67,-0.422038677881749
11.725,-0.42270356715735
11.78,-0.423368571411595
11.835,-0.424033783811233
11.89,-0.424699298540844
11.945,-0.425365210147629
12,-0.426031612937849
12.055,-0.426698600421914
12.11,-0.427366264805814
12.165,-0.428034696527517
12.22,-0.428703983837372
12.275,-0.429374212421976
12.33,-0.430045465071731
12.385,-0.430717821392431
12.44,-0.431391357561729
12.495,-0.432066146131573
12.55,-0.432742255878105
12.605,-0.433419751700657
