Freq.	S12(V1)
1.00000000000000e+09	(-5.55013378089503e-01dB,-2.72999393261002e+01°)
1.04904904904905e+09	(-5.57216558838252e-01dB,-2.86353529698000e+01°)
1.09809809809810e+09	(-5.59504951119789e-01dB,-2.99702686305666e+01°)
1.14714714714715e+09	(-5.61875850734854e-01dB,-3.13046681044598e+01°)
1.19619619619620e+09	(-5.64326460517611e-01dB,-3.26385338431475e+01°)
1.24524524524525e+09	(-5.66853894121481e-01dB,-3.39718489744749e+01°)
1.29429429429429e+09	(-5.69455179907569e-01dB,-3.53045973221109e+01°)
1.34334334334334e+09	(-5.72127264927386e-01dB,-3.66367634240939e+01°)
1.39239239239239e+09	(-5.74867018993918e-01dB,-3.79683325503697e+01°)
1.44144144144144e+09	(-5.77671238833281e-01dB,-3.92992907192437e+01°)
1.49049049049049e+09	(-5.80536652310110e-01dB,-4.06296247127443e+01°)
1.53953953953954e+09	(-5.83459922720265e-01dB,-4.19593220909273e+01°)
1.58858858858859e+09	(-5.86437653142665e-01dB,-4.32883712050452e+01°)
1.63763763763764e+09	(-5.89466390844548e-01dB,-4.46167612096469e+01°)
1.68668668668669e+09	(-5.92542631732405e-01dB,-4.59444820735487e+01°)
1.73573573573574e+09	(-5.95662824841702e-01dB,-4.72715245896885e+01°)
1.78478478478478e+09	(-5.98823376859688e-01dB,-4.85978803839052e+01°)
1.83383383383383e+09	(-6.02020656672894e-01dB,-4.99235419225558e+01°)
1.88288288288288e+09	(-6.05250999934851e-01dB,-5.12485025190910e+01°)
1.93193193193193e+09	(-6.08510713645720e-01dB,-5.25727563394805e+01°)
1.98098098098098e+09	(-6.11796080738990e-01dB,-5.38962984065785e+01°)
2.03003003003003e+09	(-6.15103364668445e-01dB,-5.52191246034017e+01°)
2.07907907907908e+09	(-6.18428813989411e-01dB,-5.65412316753176e+01°)
2.12812812812813e+09	(-6.21768666929210e-01dB,-5.78626172312076e+01°)
2.17717717717718e+09	(-6.25119155940296e-01dB,-5.91832797435498e+01°)
2.22622622622623e+09	(-6.28476512231795e-01dB,-6.05032185475077e+01°)
2.27527527527528e+09	(-6.31836970272781e-01dB,-6.18224338389594e+01°)
2.32432432432432e+09	(-6.35196772264043e-01dB,-6.31409266715715e+01°)
2.37337337337337e+09	(-6.38552172571937e-01dB,-6.44586989528601e+01°)
2.42242242242242e+09	(-6.41899442120877e-01dB,-6.57757534393109e+01°)
2.47147147147147e+09	(-6.45234872739405e-01dB,-6.70920937305440e+01°)
2.52052052052052e+09	(-6.48554781455831e-01dB,-6.84077242625548e+01°)
2.56956956956957e+09	(-6.51855514739671e-01dB,-6.97226503000648e+01°)
2.61861861861862e+09	(-6.55133452684739e-01dB,-7.10368779279756e+01°)
2.66766766766767e+09	(-6.58385013130510e-01dB,-7.23504140419730e+01°)
2.71671671671672e+09	(-6.61606655718329e-01dB,-7.36632663382881e+01°)
2.76576576576577e+09	(-6.64794885879326e-01dB,-7.49754433026454e+01°)
2.81481481481481e+09	(-6.67946258750743e-01dB,-7.62869541984113e+01°)
2.86386386386386e+09	(-6.71057383018137e-01dB,-7.75978090539708e+01°)
2.91291291291291e+09	(-6.74124924680793e-01dB,-7.89080186493635e+01°)
2.96196196196196e+09	(-6.77145610737516e-01dB,-8.02175945021738e+01°)
3.01101101101101e+09	(-6.80116232790885e-01dB,-8.15265488527361e+01°)
3.06006006006006e+09	(-6.83033650567473e-01dB,-8.28348946486381e+01°)
3.10910910910911e+09	(-6.85894795352271e-01dB,-8.41426455285761e+01°)
3.15815815815816e+09	(-6.88696673335005e-01dB,-8.54498158055502e+01°)
3.20720720720721e+09	(-6.91436368867163e-01dB,-8.67564204494670e+01°)
3.25625625625626e+09	(-6.94111047627523e-01dB,-8.80624750691157e+01°)
3.30530530530531e+09	(-6.96717959694937e-01dB,-8.93679958935856e+01°)
3.35435435435435e+09	(-6.99254442527047e-01dB,-9.06729997531177e+01°)
3.40340340340340e+09	(-7.01717923843113e-01dB,-9.19775040594124e+01°)
3.45245245245245e+09	(-7.04105924410308e-01dB,-9.32815267854276e+01°)
3.50150150150150e+09	(-7.06416060731862e-01dB,-9.45850864446717e+01°)
3.55055055055055e+09	(-7.08646047636067e-01dB,-9.58882020700129e+01°)
