Freq.	S22(V1)
1.00000000000000e+09	(-2.22647142378336e+01dB,-6.94911086686890e+01°)
1.04904904904905e+09	(-2.21005352070267e+01dB,-7.22403523774085e+01°)
1.09809809809810e+09	(-2.19366040247688e+01dB,-7.49320549872368e+01°)
1.14714714714715e+09	(-2.17733315524553e+01dB,-7.75684192851204e+01°)
1.19619619619620e+09	(-2.16110812452598e+01dB,-8.01516756008893e+01°)
1.24524524524525e+09	(-2.14501728945421e+01dB,-8.26840543934294e+01°)
1.29429429429429e+09	(-2.12908863720392e+01dB,-8.51677641280860e+01°)
1.34334334334334e+09	(-2.11334652871160e+01dB,-8.76049737716891e+01°)
1.39239239239239e+09	(-2.09781204938435e+01dB,-8.99977992607591e+01°)
1.44144144144144e+09	(-2.08250334056236e+01dB,-9.23482933419754e+01°)
1.49049049049049e+09	(-2.06743590915983e+01dB,-9.46584382406319e+01°)
1.53953953953954e+09	(-2.05262291416922e+01dB,-9.69301406725556e+01°)
1.58858858858859e+09	(-2.03807542968682e+01dB,-9.91652287748366e+01°)
1.63763763763764e+09	(-2.02380268479666e+01dB,-1.01365450589198e+02°)
1.68668668668669e+09	(-2.00981228115119e+01dB,-1.03532473784599e+02°)
1.73573573573574e+09	(-1.99611038940632e+01dB,-1.05667886354734e+02°)
1.78478478478478e+09	(-1.98270192586275e+01dB,-1.07773198069088e+02°)
1.83383383383383e+09	(-1.96959071078454e+01dB,-1.09849842493466e+02°)
1.88288288288288e+09	(-1.95677960987771e+01dB,-1.11899179429243e+02°)
1.93193193193193e+09	(-1.94427066042133e+01dB,-1.13922497647658e+02°)
1.98098098098098e+09	(-1.93206518347111e+01dB,-1.15921017819620e+02°)
2.03003003003003e+09	(-1.92016388349594e+01dB,-1.17895895561074e+02°)
2.07907907907908e+09	(-1.90856693671847e+01dB,-1.19848224530528e+02°)
2.12812812812813e+09	(-1.89727406933024e+01dB,-1.21779039529274e+02°)
2.17717717717718e+09	(-1.88628462666747e+01dB,-1.23689319565824e+02°)
2.22622622622623e+09	(-1.87559763432453e+01dB,-1.25579990855591e+02°)
2.27527527527528e+09	(-1.86521185210555e+01dB,-1.27451929734186e+02°)
2.32432432432432e+09	(-1.85512582161106e+01dB,-1.29305965469023e+02°)
2.37337337337337e+09	(-1.84533790819012e+01dB,-1.31142882958494e+02°)
2.42242242242242e+09	(-1.83584633790172e+01dB,-1.32963425312125e+02°)
2.47147147147147e+09	(-1.82664923006879e+01dB,-1.34768296308138e+02°)
2.52052052052052e+09	(-1.81774462593932e+01dB,-1.36558162727066e+02°)
2.56956956956957e+09	(-1.80913051391548e+01dB,-1.38333656562314e+02°)
2.61861861861862e+09	(-1.80080485176015e+01dB,-1.40095377109463e+02°)
