Freq.	S22(V1)
1.00000000000000e+09	(-2.46911786665601e+01dB,-3.04300931796133e+01°)
1.04904904904905e+09	(-2.47008985980932e+01dB,-3.19410353582899e+01°)
1.09809809809810e+09	(-2.47109960367943e+01dB,-3.34545507427258e+01°)
1.14714714714715e+09	(-2.47214586158610e+01dB,-3.49707436077261e+01°)
1.19619619619620e+09	(-2.47322734012112e+01dB,-3.64897158346381e+01°)
1.24524524524525e+09	(-2.47434268937939e+01dB,-3.80115667643851e+01°)
1.29429429429429e+09	(-2.47549050326132e+01dB,-3.95363930446771e+01°)
1.34334334334334e+09	(-2.47666931984660e+01dB,-4.10642884740939e+01°)
1.39239239239239e+09	(-2.47787762185245e+01dB,-4.25953438409897e+01°)
1.44144144144144e+09	(-2.47911383718432e+01dB,-4.41296467580887e+01°)
1.49049049049049e+09	(-2.48037633958140e+01dB,-4.56672814937976e+01°)
1.53953953953954e+09	(-2.48166344937089e+01dB,-4.72083287988932e+01°)
1.58858858858859e+09	(-2.48297343433604e+01dB,-4.87528657297705e+01°)
1.63763763763764e+09	(-2.48430451071036e+01dB,-5.03009654678673e+01°)
1.68668668668669e+09	(-2.48565484429868e+01dB,-5.18526971369570e+01°)
1.73573573573574e+09	(-2.48702255174124e+01dB,-5.34081256166059e+01°)
1.78478478478478e+09	(-2.48840570192396e+01dB,-5.49673113538063e+01°)
1.83383383383383e+09	(-2.48980231754731e+01dB,-5.65303101730193e+01°)
1.88288288288288e+09	(-2.49121037685561e+01dB,-5.80971730842869e+01°)
1.93193193193193e+09	(-2.49262781554118e+01dB,-5.96679460913229e+01°)
1.98098098098098e+09	(-2.49405252882441e+01dB,-6.12426699987577e+01°)
2.03003003003003e+09	(-2.49548237372125e+01dB,-6.28213802208518e+01°)
2.07907907907908e+09	(-2.49691517150298e+01dB,-6.44041065908030e+01°)
2.12812812812813e+09	(-2.49834871034928e+01dB,-6.59908731726926e+01°)
2.17717717717718e+09	(-2.49978074820979e+01dB,-6.75816980764990e+01°)
2.22622622622623e+09	(-2.50120901586549e+01dB,-6.91765932770527e+01°)
2.27527527527528e+09	(-2.50263122020404e+01dB,-7.07755644377200e+01°)
2.32432432432432e+09	(-2.50404504770558e+01dB,-7.23786107404790e+01°)
2.37337337337337e+09	(-2.50544816813852e+01dB,-7.39857247229937e+01°)
2.42242242242242e+09	(-2.50683823847097e+01dB,-7.55968921235626e+01°)
