"S21 Log Mag"
"Freq (Hz)","dB",
1000000000, 3.674611e-02,
1027500000, 3.629946e-02,
1055000000, 3.531771e-02,
1082500000, 3.359963e-02,
1110000000, 3.047451e-02,
1137500000, 2.899674e-02,
1165000000, 3.140956e-02,
1192500000, 3.135353e-02,
1220000000, 3.111709e-02,
1247500000, 2.912788e-02,
1275000000, 2.983852e-02,
1302500000, 2.797064e-02,
1330000000, 2.948013e-02,
1357500000, 2.949864e-02,
1385000000, 2.923998e-02,
1412500000, 2.906874e-02,
1440000000, 2.957320e-02,
1467500000, 2.865576e-02,
1495000000, 2.959686e-02,
1522500000, 2.857810e-02,
1550000000, 2.880954e-02,
1577500000, 2.905999e-02,
1605000000, 2.848244e-02,
1632500000, 2.987452e-02,
1660000000, 2.983852e-02,
1687500000, 2.836568e-02,
1715000000, 2.864548e-02,
1742500000, 2.919370e-02,
1770000000, 2.846598e-02,
1797500000, 2.834871e-02,
1825000000, 2.747062e-02,
1852500000, 2.832196e-02,
1880000000, 2.832916e-02,
1907500000, 2.829110e-02,
1935000000, 2.891240e-02,
1962500000, 2.940865e-02,
1990000000, 2.804574e-02,
2017500000, 2.913713e-02,
2045000000, 2.747731e-02,
2072500000, 2.907748e-02,
2100000000, 2.903274e-02,
2127500000, 2.866811e-02,
2155000000, 2.845775e-02,
2182500000, 2.951870e-02,
2210000000, 2.922713e-02,
2237500000, 2.843306e-02,
2265000000, 2.948784e-02,
2292500000, 2.790326e-02,
2320000000, 2.730342e-02,
2347500000, 2.879925e-02,
2375000000, 2.885943e-02,
2402500000, 2.747988e-02,
2430000000, 2.712644e-02,
2457500000, 2.822577e-02,
2485000000, 2.944054e-02,
2512500000, 2.837082e-02,
2540000000, 2.950533e-02,
2567500000, 2.959377e-02,
2595000000, 2.828647e-02,
2622500000, 2.904508e-02,
2650000000, 2.800562e-02,
2677500000, 2.843152e-02,
2705000000, 2.662066e-02,
2732500000, 2.754007e-02,
2760000000, 2.733943e-02,
2787500000, 2.686146e-02,
2815000000, 2.741146e-02,
2842500000, 2.908057e-02,
2870000000, 2.959480e-02,
2897500000, 2.773247e-02,
2925000000, 2.925335e-02,
2952500000, 3.007915e-02,
2980000000, 2.732400e-02,
3007500000, 2.826538e-02,
3035000000, 2.876171e-02,
3062500000, 2.876942e-02,
3090000000, 2.955315e-02,
3117500000, 3.017787e-02,
3145000000, 2.939477e-02,
3172500000, 2.810335e-02,
3200000000, 2.807455e-02,
3227500000, 2.986886e-02,
3255000000, 2.802414e-02,
3282500000, 2.908519e-02,
3310000000, 3.103484e-02,
3337500000, 2.795675e-02,
3365000000, 2.918136e-02,
3392500000, 3.003699e-02,
3420000000, 3.057579e-02,
3447500000, 2.992645e-02,
3475000000, 2.902708e-02,
3502500000, 2.910011e-02,
3530000000, 2.995010e-02,
3557500000, 2.829984e-02,
3585000000, 2.836105e-02,
3612500000, 2.830910e-02,
3640000000, 2.856833e-02,
3667500000, 2.839603e-02,
3695000000, 2.830036e-02,
3722500000, 2.812650e-02,
3750000000, 2.949042e-02,
3777500000, 2.672563e-02,
3805000000, 2.848089e-02,
3832500000, 2.879411e-02,
3860000000, 3.024779e-02,
3887500000, 2.906719e-02,
3915000000, 2.807815e-02,
3942500000, 2.930941e-02,
3970000000, 3.019997e-02,
3997500000, 2.781581e-02,
4025000000, 2.834305e-02,
4052500000, 2.859404e-02,
4080000000, 2.860742e-02,
4107500000, 3.017992e-02,
4135000000, 2.979688e-02,
4162500000, 2.757351e-02,
4190000000, 3.057939e-02,
4217500000, 2.960354e-02,
4245000000, 2.884554e-02,
4272500000, 2.887794e-02,
4300000000, 3.017221e-02,
4327500000, 2.979688e-02,
4355000000, 2.876531e-02,
4382500000, 2.946676e-02,
4410000000, 2.907954e-02,
4437500000, 2.896485e-02,
4465000000, 2.862285e-02,
4492500000, 2.920039e-02,
4520000000, 2.914536e-02,
4547500000, 2.930838e-02,
4575000000, 2.882188e-02,
4602500000, 2.789091e-02,
4630000000, 2.912839e-02,
4657500000, 2.966062e-02,
4685000000, 2.726175e-02,
4712500000, 2.901371e-02,
4740000000, 2.735075e-02,
4767500000, 2.786159e-02,
4795000000, 3.006116e-02,
4822500000, 2.965959e-02,
4850000000, 2.874731e-02,
4877500000, 2.811107e-02,
4905000000, 2.758843e-02,
4932500000, 2.861976e-02,
4960000000, 2.891137e-02,
4987500000, 2.891291e-02,
5015000000, 2.859147e-02,
5042500000, 2.858324e-02,
5070000000, 2.893400e-02,
5097500000, 2.780089e-02,
5125000000, 2.745519e-02,
5152500000, 2.915925e-02,
5180000000, 2.815531e-02,
5207500000, 2.664278e-02,
5235000000, 2.805963e-02,
5262500000, 2.646732e-02,
5290000000, 2.801591e-02,
5317500000, 2.805140e-02,
5345000000, 2.808381e-02,
5372500000, 2.946779e-02,
5400000000, 2.820263e-02,
5427500000, 2.855856e-02,
5455000000, 2.932535e-02,
5482500000, 2.784821e-02,
5510000000, 2.752618e-02,
5537500000, 2.797578e-02,
5565000000, 2.798813e-02,
